group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
pavement,-1,1,10.213725840769792,2018-07-07,11.612160000000001,0.8795715733136463
sorghum,1,1,0.0008467394215320057,2018-07-07,11.612160000000001,7.291833918340822e-5
sorghum,2,1,0.0008467407737766324,2018-07-07,11.612160000000001,7.291845563414837e-5
sorghum,3,1,0.0008467372521701561,2018-07-07,11.612160000000001,7.291815236529259e-5
sorghum,4,1,0.0008467306756874816,2018-07-07,11.612160000000001,7.291758602081624e-5
sorghum,5,1,0.0008467334793473901,2018-07-07,11.612160000000001,7.291782746253841e-5
sorghum,6,1,0.000846733661279097,2018-07-07,11.612160000000001,7.291784312988255e-5
pavement,-1,2,10.537019418829797,2018-07-08,11.980800000000002,0.879492138991536
sorghum,1,2,0.0012440908092587043,2018-07-08,11.980800000000002,0.00010384037871082933
sorghum,2,2,0.0012441411092650998,2018-07-08,11.980800000000002,0.00010384457709544434
sorghum,3,2,0.0012440937381560317,2018-07-08,11.980800000000002,0.00010384062317675209
sorghum,4,2,0.0012441380579452305,2018-07-08,11.980800000000002,0.00010384432241129393
sorghum,5,2,0.0012440943001436337,2018-07-08,11.980800000000002,0.00010384067008410403
sorghum,6,2,0.0012441434574550709,2018-07-08,11.980800000000002,0.00010384477309153567
pavement,-1,3,12.587248946396524,2018-07-09,14.31552,0.8792729112457337
sorghum,1,3,0.002417780854426989,2018-07-09,14.31552,0.0001688922829507408
sorghum,2,3,0.002417878942708987,2018-07-09,14.31552,0.00016889913483470996
sorghum,3,3,0.002417791326843336,2018-07-09,14.31552,0.0001688930144935941
sorghum,4,3,0.0024178860073947156,2018-07-09,14.31552,0.00016889962833307597
sorghum,5,3,0.002417791186106806,2018-07-09,14.31552,0.0001688930046625485
sorghum,6,3,0.002417890891549637,2018-07-09,14.31552,0.00016889996951208457
pavement,-1,4,12.20445403295378,2018-07-10,13.885440000000004,0.8789389484923615
sorghum,1,4,0.003266722933797143,2018-07-10,13.885440000000004,0.0002352624716103445
sorghum,2,4,0.003266964952503761,2018-07-10,13.885440000000004,0.0002352799012853579
sorghum,3,4,0.0032667282267263243,2018-07-10,13.885440000000004,0.00023526285279590155
sorghum,4,4,0.0032669523308576725,2018-07-10,13.885440000000004,0.00023527899230112056
sorghum,5,4,0.0032667299415139067,2018-07-10,13.885440000000004,0.00023526297629127384
sorghum,6,4,0.00326695134526242,2018-07-10,13.885440000000004,0.0002352789213206365
pavement,-1,5,9.503261322507571,2018-07-11,10.813440000000003,0.8788379389451986
sorghum,1,5,0.0024189053526870443,2018-07-11,10.813440000000003,0.00022369434265941677
sorghum,2,5,0.002420524273564489,2018-07-11,10.813440000000003,0.00022384405643019134
sorghum,3,5,0.0024201812346193855,2018-07-11,10.813440000000003,0.00022381233304289704
sorghum,4,5,0.0024205239451733493,2018-07-11,10.813440000000003,0.0002238440260613966
sorghum,5,5,0.0024201844169246256,2018-07-11,10.813440000000003,0.00022381262733456002
sorghum,6,5,0.0024205236844506836,2018-07-11,10.813440000000003,0.00022384400195041382
pavement,-1,6,10.412689980598,2018-07-12,11.857920000000002,0.8781211190999769
sorghum,1,6,0.0040746830240505055,2018-07-12,11.857920000000002,0.0003436254439269707
sorghum,2,6,0.0040793431335923525,2018-07-12,11.857920000000002,0.0003440184394558533
sorghum,3,6,0.004078539414771832,2018-07-12,11.857920000000002,0.00034395066038325707
sorghum,4,6,0.0040793384390590175,2018-07-12,11.857920000000002,0.0003440180435573032
sorghum,5,6,0.0040785327530305174,2018-07-12,11.857920000000002,0.0003439500985864736
sorghum,6,6,0.004079319604253927,2018-07-12,11.857920000000002,0.0003440164551838709
pavement,-1,7,9.754697487614612,2018-07-13,11.120640000000003,0.8771705124538344
sorghum,1,7,0.005596888959579947,2018-07-13,11.120640000000003,0.0005032883862421538
sorghum,2,7,0.005602866943237907,2018-07-13,11.120640000000003,0.0005038259437620411
sorghum,3,7,0.005601798000786941,2018-07-13,11.120640000000003,0.0005037298213760124
sorghum,4,7,0.005602866539049755,2018-07-13,11.120640000000003,0.0005038259074162776
sorghum,5,7,0.005601798037946581,2018-07-13,11.120640000000003,0.0005037298247175144
sorghum,6,7,0.00560287811379429,2018-07-13,11.120640000000003,0.0005038269482506662
pavement,-1,8,12.114254895580963,2018-07-14,13.824,0.8763205219604284
sorghum,1,8,0.00956019431348244,2018-07-14,13.824,0.0006915649821674219
sorghum,2,8,0.00956699816739386,2018-07-14,13.824,0.0006920571590996715
sorghum,3,8,0.009565917451446727,2018-07-14,13.824,0.0006919789823095144
sorghum,4,8,0.009567008026962217,2018-07-14,13.824,0.0006920578723207622
sorghum,5,8,0.009565920835777966,2018-07-14,13.824,0.0006919792271251423
sorghum,6,8,0.009567022432223928,2018-07-14,13.824,0.0006920589143680504
pavement,-1,9,4.462205263777534,2018-07-15,5.099520000000001,0.8750245638368971
sorghum,1,9,0.004623608664249386,2018-07-15,5.099520000000001,0.0009066752683094459
sorghum,2,9,0.004626865986750635,2018-07-15,5.099520000000001,0.0009073140191136881
sorghum,3,9,0.004627087849794575,2018-07-15,5.099520000000001,0.0009073575257660671
sorghum,4,9,0.004626869841564212,2018-07-15,5.099520000000001,0.0009073147750306325
sorghum,5,9,0.004627081756444469,2018-07-15,5.099520000000001,0.0009073563308790764
sorghum,6,9,0.004626920332835126,2018-07-15,5.099520000000001,0.0009073246762117072
pavement,-1,10,6.4980756083122895,2018-07-16,7.434240000000001,0.8740739616036459
