group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
pavement,-1,1,10.217037847810609,2018-07-07,11.612160000000001,0.8798567921739459
sorghum,1,1,0.0008498844086880677,2018-07-07,11.612160000000001,7.31891748553299e-5
sorghum,2,1,0.000849884465537916,2018-07-07,11.612160000000001,7.318917975104683e-5
pavement,-1,2,10.540625471490255,2018-07-08,11.980800000000002,0.879793124957453
sorghum,1,2,0.0014003461756835465,2018-07-08,11.980800000000002,0.0001168825266829883
sorghum,2,2,0.001400464503799996,2018-07-08,11.980800000000002,0.00011689240316172508
pavement,-1,3,12.593820689102378,2018-07-09,14.31552,0.8797319754436009
sorghum,1,3,0.002591800802892915,2018-07-09,14.31552,0.0001810483169939279
sorghum,2,3,0.002591929994439433,2018-07-09,14.31552,0.00018105734157330177
pavement,-1,4,12.214130510661931,2018-07-10,13.885440000000004,0.879635827936452
sorghum,1,4,0.003324442603834167,2018-07-10,13.885440000000004,0.00023941932008162263
sorghum,2,4,0.003324685390466805,2018-07-10,13.885440000000004,0.00023943680506104264
pavement,-1,5,9.510978796314486,2018-07-11,10.813440000000003,0.8795516317022597
sorghum,1,5,0.0027699265811374323,2018-07-11,10.813440000000003,0.0002561559116375022
sorghum,2,5,0.0027704096564575703,2018-07-11,10.813440000000003,0.0002562005852399948
pavement,-1,6,10.425695457421535,2018-07-12,11.857920000000002,0.879217894657877
sorghum,1,6,0.004921641558721131,2018-07-12,11.857920000000002,0.0004150510004048881
sorghum,2,6,0.004925221360472724,2018-07-12,11.857920000000002,0.00041535289160938205
pavement,-1,7,9.775055367953813,2018-07-13,11.120640000000003,0.8790011517281209
sorghum,1,7,0.006022615580982953,2018-07-13,11.120640000000003,0.000541570951040853
sorghum,2,7,0.006028547744197315,2018-07-13,11.120640000000003,0.0005421043882543913
pavement,-1,8,12.147705908330913,2018-07-14,13.824,0.8787403000818079
sorghum,1,8,0.009693626074095798,2018-07-14,13.824,0.0007012171639247538
sorghum,2,8,0.009699039028360128,2018-07-14,13.824,0.0007016087260098472
pavement,-1,9,4.478569259020958,2018-07-15,5.099520000000001,0.8782334923720188
sorghum,1,9,0.005013695941915751,2018-07-15,5.099520000000001,0.000983170169332751
sorghum,2,9,0.005015819794528484,2018-07-15,5.099520000000001,0.0009835866502197232
pavement,-1,10,6.526430344476105,2018-07-16,7.434240000000001,0.8778880348867005
sorghum,1,10,0.008584506802936223,2018-07-16,7.434240000000001,0.0011547255405981274
sorghum,2,10,0.008586717418553153,2018-07-16,7.434240000000001,0.0011550228965641616
pavement,-1,11,7.117201423872082,2018-07-17,8.11008,0.8775747494318283
sorghum,1,11,0.010444283165477687,2018-07-17,8.11008,0.0012878150604528793
sorghum,2,11,0.010445304936400326,2018-07-17,8.11008,0.0012879410482264449
pavement,-1,12,6.467884349255939,2018-07-18,7.3728000000000025,0.877262959697257
sorghum,1,12,0.010768554669946985,2018-07-18,7.3728000000000025,0.0014605787041486247
sorghum,2,12,0.010770032205207721,2018-07-18,7.3728000000000025,0.0014607791076941892
pavement,-1,13,10.778077066036468,2018-07-19,12.288000000000002,0.8771221570667698
sorghum,1,13,0.019497870466728913,2018-07-19,12.288000000000002,0.001586740760638746
sorghum,2,13,0.019499932961919077,2018-07-19,12.288000000000002,0.001586908606927008
maize,3,14,0.0008428025318934459,2018-07-20,10.69056,7.883614440155108e-5
maize,4,14,0.0008427988896981359,2018-07-20,10.69056,7.883580370889233e-5
maize,5,14,0.0008427960072574036,2018-07-20,10.69056,7.883553408403336e-5
maize,6,14,0.0008428062048399136,2018-07-20,10.69056,7.883648797068755e-5
maize,7,14,0.0008428017413947251,2018-07-20,10.69056,7.883607045792972e-5
maize,8,14,0.0008427870496228826,2018-07-20,10.69056,7.883469618269602e-5
pavement,-1,14,9.368605286379717,2018-07-20,10.69056,0.8763437356302867
sorghum,1,14,0.01899611400794995,2018-07-20,10.69056,0.0017769054201042743
sorghum,2,14,0.018997684586989857,2018-07-20,10.69056,0.0017770523328048164
maize,3,15,0.0011608056969845812,2018-07-21,9.09312,0.00012765758034476407
maize,4,15,0.0011608068418821264,2018-07-21,9.09312,0.0001276577062528732
maize,5,15,0.0011608151837407897,2018-07-21,9.09312,0.000127658623634219
maize,6,15,0.0011608069440885562,2018-07-21,9.09312,0.00012765771749284692
maize,7,15,0.0011608069440990113,2018-07-21,9.09312,0.00012765771749399668
maize,8,15,0.0011608146120566558,2018-07-21,9.09312,0.00012765856076425426
pavement,-1,15,7.964786233894624,2018-07-21,9.09312,0.8759134635740673
sorghum,1,15,0.01844466797967478,2018-07-21,9.09312,0.002028420165979859
sorghum,2,15,0.01844630047281492,2018-07-21,9.09312,0.002028599696563437
maize,3,16,0.0028202387018073883,2018-07-22,14.31552,0.00019700567648310284
maize,4,16,0.00282031295291811,2018-07-22,14.31552,0.00019701086323920544
maize,5,16,0.0028202405626893204,2018-07-22,14.31552,0.00019700580647362585
maize,6,16,0.0028203094423836614,2018-07-22,14.31552,0.00019701061801343309
maize,7,16,0.002820244078171216,2018-07-22,14.31552,0.00019700605204499844
maize,8,16,0.0028192856781703605,2018-07-22,14.31552,0.0001969391037259115
pavement,-1,16,12.526643372284436,2018-07-22,14.31552,0.8750393539518255
sorghum,1,16,0.03379064581647986,2018-07-22,14.31552,0.002360420425976832
sorghum,2,16,0.03380370453016022,2018-07-22,14.31552,0.002361332632706337
maize,3,17,0.00359128852109405,2018-07-23,12.103680000000002,0.000296710465006845
maize,4,17,0.0035915101672346103,2018-07-23,12.103680000000002,0.0002967287773003425
maize,5,17,0.0035913277462640836,2018-07-23,12.103680000000002,0.00029671370577081374
maize,6,17,0.0035915036212999076,2018-07-23,12.103680000000002,0.0002967282364784848
maize,7,17,0.003591329217920891,2018-07-23,12.103680000000002,0.0002967138273583646
maize,8,17,0.003588723535997484,2018-07-23,12.103680000000002,0.0002964985472184892
pavement,-1,17,10.574938086652574,2018-07-23,12.103680000000002,0.8736961061968403
sorghum,1,17,0.03200485998608931,2018-07-23,12.103680000000002,0.002644225556697575
sorghum,2,17,0.032021116212878876,2018-07-23,12.103680000000002,0.0026455686380405688
maize,3,18,0.006694064149410521,2018-07-24,13.824,0.00048423496451175643
maize,4,18,0.006695174320545482,2018-07-24,13.824,0.00048431527203019977
maize,5,18,0.006694149781158597,2018-07-24,13.824,0.0004842411589379772
maize,6,18,0.006695201572804442,2018-07-24,13.824,0.0004843172434030991
maize,7,18,0.006694137299587709,2018-07-24,13.824,0.0004842402560465646
maize,8,18,0.006687463321975747,2018-07-24,13.824,0.0004837574741012548
pavement,-1,18,12.051562506450901,2018-07-24,13.824,0.8717854822374784
sorghum,1,18,0.04173111320557965,2018-07-24,13.824,0.0030187437214684353
sorghum,2,18,0.041764027293693745,2018-07-24,13.824,0.0030211246595553925
maize,3,19,0.005021687746419724,2018-07-25,7.3728000000000025,0.0006811099916476404
maize,4,19,0.0050228996050383015,2018-07-25,7.3728000000000025,0.000681274360492391
maize,5,19,0.0050228299628998045,2018-07-25,7.3728000000000025,0.0006812649146728248
maize,6,19,0.005022905642945191,2018-07-25,7.3728000000000025,0.0006812751794359253
maize,7,19,0.005020350989540748,2018-07-25,7.3728000000000025,0.0006809286823921367
maize,8,19,0.005009816351344916,2018-07-25,7.3728000000000025,0.000679499830640315
pavement,-1,19,6.411981944653309,2018-07-25,7.3728000000000025,0.8696807108090966
