group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
maize,3,1,0.0020810433395254424,2018-07-05,14.131200000000002,0.0001472658613228489
maize,4,1,0.002070697499324846,2018-07-05,14.131200000000002,0.00014653373381771158
maize,5,1,0.0020810583938712895,2018-07-05,14.131200000000002,0.0001472669266496327
maize,6,1,0.0020800646963651977,2018-07-05,14.131200000000002,0.00014719660724957521
maize,7,1,0.002081748448959987,2018-07-05,14.131200000000002,0.0001473157586730063
maize,8,1,0.0020931679401440906,2018-07-05,14.131200000000002,0.0001481238635178959
pavement,-1,1,12.426701668844775,2018-07-05,14.131200000000002,0.8793804962667554
maize,3,2,0.003274842777222232,2018-07-06,13.209600000000004,0.00024791384880861123
maize,4,2,0.003260621549193135,2018-07-06,13.209600000000004,0.0002468372660181333
maize,5,2,0.0032748453174468303,2018-07-06,13.209600000000004,0.00024791404111001314
maize,6,2,0.0032720589012103993,2018-07-06,13.209600000000004,0.0002477031023808744
maize,7,2,0.003276253941437089,2018-07-06,13.209600000000004,0.0002480206774949346
maize,8,2,0.003293278075146314,2018-07-06,13.209600000000004,0.0002493094473069823
pavement,-1,2,11.60726466371037,2018-07-06,13.209600000000004,0.8786991781515235
sorghum,1,2,0.0006848429287329656,2018-07-06,13.209600000000004,5.1844335084557093e-5
sorghum,2,2,0.0006848449277025423,2018-07-06,13.209600000000004,5.184448641159021e-5
maize,3,3,0.004108825693899387,2018-07-07,11.612160000000001,0.00035383819150781474
maize,4,3,0.00409187232862239,2018-07-07,11.612160000000001,0.00035237822494888025
maize,5,3,0.004109141488600976,2018-07-07,11.612160000000001,0.00035386538668094266
maize,6,3,0.004105043394910731,2018-07-07,11.612160000000001,0.00035351247269334307
maize,7,3,0.004111795823359109,2018-07-07,11.612160000000001,0.00035409396902549644
maize,8,3,0.004131003642825791,2018-07-07,11.612160000000001,0.0003557480815649966
pavement,-1,3,10.194419151448406,2018-07-07,11.612160000000001,0.8779089464361846
sorghum,1,3,0.0010411415641590047,2018-07-07,11.612160000000001,8.965959512778023e-5
sorghum,2,3,0.0010411396695723613,2018-07-07,11.612160000000001,8.965943197237733e-5
maize,3,4,0.006025282965288614,2018-07-08,11.980800000000002,0.0005029115722897146
maize,4,4,0.006003023381781191,2018-07-08,11.980800000000002,0.0005010536342966405
maize,5,4,0.006026366457346195,2018-07-08,11.980800000000002,0.0005030020079916361
maize,6,4,0.00602066770874441,2018-07-08,11.980800000000002,0.0005025263512239925
maize,7,4,0.006029873627486282,2018-07-08,11.980800000000002,0.0005032947405420574
maize,8,4,0.006054890668725236,2018-07-08,11.980800000000002,0.0005053828349296571
pavement,-1,4,10.507404850545253,2018-07-08,11.980800000000002,0.8770203033641536
sorghum,1,4,0.0016698646566469812,2018-07-08,11.980800000000002,0.00013937839348348866
sorghum,2,4,0.0016699632583504404,2018-07-08,11.980800000000002,0.0001393866234600728
maize,3,5,0.010695728481068974,2018-07-09,14.31552,0.0007471421562799658
maize,4,5,0.01066357535278502,2018-07-09,14.31552,0.0007448961234230416
maize,5,5,0.010697772968610183,2018-07-09,14.31552,0.0007472849724362219
maize,6,5,0.010688129095471996,2018-07-09,14.31552,0.0007466113068524228
maize,7,5,0.010704052088740843,2018-07-09,14.31552,0.0007477235957017869
