group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
maize,3,1,0.0020819840819617077,2018-07-05,10.598400000000002,0.0001964432444483797
maize,4,1,0.0020991894637052903,2018-07-05,10.598400000000002,0.00019806663871011566
maize,5,1,0.0020993264231818493,2018-07-05,10.598400000000002,0.000198079561366041
maize,6,1,0.0021146107196461385,2018-07-05,10.598400000000002,0.00019952169380719147
pavement,-1,1,9.320363786064345,2018-07-05,10.598400000000002,0.8794123439447787
maize,3,2,0.003266069545066111,2018-07-06,9.907200000000001,0.00032966625737505155
maize,4,2,0.0032928605688227605,2018-07-06,9.907200000000001,0.0003323704547019097
maize,5,2,0.0032933024850914376,2018-07-06,9.907200000000001,0.0003324150602684348
maize,6,2,0.003311041858989721,2018-07-06,9.907200000000001,0.00033420561399686297
pavement,-1,2,8.70580754865634,2018-07-06,9.907200000000001,0.8787354195591427
sorghum,1,2,0.0006842946788595938,2018-07-06,9.907200000000001,6.907044158385756e-5
sorghum,2,2,0.0006805673465031788,2018-07-06,9.907200000000001,6.869421698392873e-5
maize,3,3,0.004102175561571602,2018-07-07,8.70912,0.00047102067276275924
maize,4,3,0.00413481853664535,2018-07-07,8.70912,0.0004747688097816254
maize,5,3,0.004137255955509554,2018-07-07,8.70912,0.00047504867948880636
maize,6,3,0.004153841135049383,2018-07-07,8.70912,0.0004769530256844989
pavement,-1,3,7.645712530996785,2018-07-07,8.70912,0.8778972537979479
sorghum,1,3,0.0010478539440907826,2018-07-07,8.70912,0.00012031685682259316
sorghum,2,3,0.0010432444980503007,2018-07-07,8.70912,0.00011978759025599608
maize,3,4,0.006028950916044436,2018-07-08,8.985600000000002,0.0006709569662620677
maize,4,4,0.006076614459696308,2018-07-08,8.985600000000002,0.0006762614026549487
maize,5,4,0.006081868633997921,2018-07-08,8.985600000000002,0.0006768461353719194
maize,6,4,0.006097364585322095,2018-07-08,8.985600000000002,0.0006785706669918641
pavement,-1,4,7.8793881492589115,2018-07-08,8.985600000000002,0.8768905970952313
sorghum,1,4,0.001426155091845174,2018-07-08,8.985600000000002,0.00015871562186667263
sorghum,2,4,0.0014207112609508875,2018-07-08,8.985600000000002,0.0001581097824241995
maize,3,5,0.010586725543491195,2018-07-09,10.73664,0.000986037116219897
maize,4,5,0.01065871188606687,2018-07-09,10.73664,0.000992741852764633
maize,5,5,0.010671552886630275,2018-07-09,10.73664,0.0009939378508202078
maize,6,5,0.010685477932697343,2018-07-09,10.73664,0.0009952348157987363
pavement,-1,5,9.40381415862022,2018-07-09,10.73664,0.8758619231547505
sorghum,1,5,0.0010701789097478434,2018-07-09,10.73664,9.96754021507514e-5
sorghum,2,5,0.0010627469256742695,2018-07-09,10.73664,9.898319452587304e-5
maize,3,6,0.013573812622929365,2018-07-10,10.414080000000002,0.0013034096744915886
maize,4,6,0.013656682751762746,2018-07-10,10.414080000000002,0.001311367182868073
maize,5,6,0.013684633337132192,2018-07-10,10.414080000000002,0.0013140511055352167
maize,6,6,0.01368191570637488,2018-07-10,10.414080000000002,0.0013137901481815846
pavement,-1,6,9.107492469243894,2018-07-10,10.414080000000002,0.8745364419366753
sorghum,1,6,0.0018540360817889785,2018-07-10,10.414080000000002,0.00017803167267670098
sorghum,2,6,0.0018451933652626168,2018-07-10,10.414080000000002,0.00017718256103876833
maize,3,7,0.014315959603068806,2018-07-11,8.110080000000002,0.0017652057196807928
maize,4,7,0.014392389598961816,2018-07-11,8.110080000000002,0.001774629793906079
maize,5,7,0.014434673480794018,2018-07-11,8.110080000000002,0.0017798435380161496
maize,6,7,0.014416312156051929,2018-07-11,8.110080000000002,0.0017775795252391994
pavement,-1,7,7.07639197119918,2018-07-11,8.110080000000002,0.8725428073704795
sorghum,1,7,0.0031442308283751337,2018-07-11,8.110080000000002,0.00038769418160796603
sorghum,2,7,0.0031389337756606945,2018-07-11,8.110080000000002,0.0003870410372845513
maize,3,8,0.019913558211591166,2018-07-12,8.893440000000002,0.0022391288648252153
maize,4,8,0.020014704138207582,2018-07-12,8.893440000000002,0.0022505019585455774
maize,5,8,0.02007530495976337,2018-07-12,8.893440000000002,0.002257316062149558
maize,6,8,0.02004332638181153,2018-07-12,8.893440000000002,0.0022537203131534622
pavement,-1,8,7.7419674857302905,2018-07-12,8.893440000000002,0.870525633020551
sorghum,1,8,0.0038226188846967805,2018-07-12,8.893440000000002,0.00042982455435655717
sorghum,2,8,0.003819698456995977,2018-07-12,8.893440000000002,0.0004294961743707695
maize,3,9,0.023072522876395822,2018-07-13,8.340480000000003,0.0027663303402676843
maize,4,9,0.023172804166185227,2018-07-13,8.340480000000003,0.0027783537837372933
maize,5,9,0.02324097831557704,2018-07-13,8.340480000000003,0.0027865276717379613
maize,6,9,0.02321844955157339,2018-07-13,8.340480000000003,0.0027838265365510598
pavement,-1,9,7.245707728555635,2018-07-13,8.340480000000003,0.8687398960917876
sorghum,1,9,0.004535348698835514,2018-07-13,8.340480000000003,0.000543775501989755
sorghum,2,9,0.004526401540835529,2018-07-13,8.340480000000003,0.0005427027630107053
maize,3,10,0.03645557194383954,2018-07-14,10.367999999999999,0.0035161624174227957
maize,4,10,0.03661633740217651,2018-07-14,10.367999999999999,0.003531668345117334
maize,5,10,0.036705421886274264,2018-07-14,10.367999999999999,0.003540260598598984
maize,6,10,0.036641362125679464,2018-07-14,10.367999999999999,0.003534081995146554
pavement,-1,10,8.97653644311295,2018-07-14,10.367999999999999,0.8657924810101226
sorghum,1,10,0.006223815009240103,2018-07-14,10.367999999999999,0.0006002907995023249
sorghum,2,10,0.006223588944279899,2018-07-14,10.367999999999999,0.0006002689953973668
maize,3,11,0.017057891720652866,2018-07-15,3.824640000000001,0.004459999299451154
maize,4,11,0.017119665467133387,2018-07-15,3.824640000000001,0.004476150818674015
maize,5,11,0.017148071487022694,2018-07-15,3.824640000000001,0.004483577928124658
maize,6,11,0.017125598717751635,2018-07-15,3.824640000000001,0.004477702141313072
pavement,-1,11,3.2987560962634177,2018-07-15,3.824640000000001,0.8625010710193421
sorghum,1,11,0.0028465275365219824,2018-07-15,3.824640000000001,0.0007442602536505349
sorghum,2,11,0.0028504255347900796,2018-07-15,3.824640000000001,0.0007452794340879348
