group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
maize,2,1,0.00207548056284762,2018-07-05,7.065600000000001,0.0002937444184283882
pavement,-1,1,6.216389436966648,2018-07-05,7.065600000000001,0.879810552106919
maize,2,2,0.0032201791774686475,2018-07-06,6.604800000000002,0.00048755135317778684
pavement,-1,2,5.808909384167963,2018-07-06,6.604800000000002,0.8794981504614767
sorghum,1,2,0.00068320025735103,2018-07-06,6.604800000000002,0.00010343996144486281
maize,2,3,0.004103897048081991,2018-07-07,5.806080000000001,0.000706827506352305
pavement,-1,3,5.104817887578905,2018-07-07,5.806080000000001,0.8792193506770325
sorghum,1,3,0.0010411918856186972,2018-07-07,5.806080000000001,0.000179327857283864
maize,2,4,0.006007883387445337,2018-07-08,5.990400000000001,0.0010029185676157413
pavement,-1,4,5.265007716092638,2018-07-08,5.990400000000001,0.8789075380763618
sorghum,1,4,0.0016976775503718291,2018-07-08,5.990400000000001,0.00028339969791196394
maize,2,5,0.01056945290335904,2018-07-09,7.15776,0.0014766425394759032
pavement,-1,5,6.287980810887555,2018-07-09,7.15776,0.87848444358117
sorghum,1,5,0.002003476914221055,2018-07-09,7.15776,0.0002799027788331901
maize,2,6,0.013597825196583119,2018-07-10,6.942720000000002,0.001958573181200324
pavement,-1,6,6.095117178818564,2018-07-10,6.942720000000002,0.8779148775722716
sorghum,1,6,0.003421903563940937,2018-07-10,6.942720000000002,0.0004928765043010428
maize,2,7,0.014415197184545564,2018-07-11,5.406720000000002,0.002666163068282722
pavement,-1,7,4.7411639341171465,2018-07-11,5.406720000000002,0.8769020652294081
sorghum,1,7,0.005496441602133448,2018-07-11,5.406720000000002,0.0010165944606218642
maize,2,8,0.01995631951837295,2018-07-12,5.928960000000001,0.0033659055750709984
pavement,-1,8,5.1938813578313825,2018-07-12,5.928960000000001,0.8760189574278426
sorghum,1,8,0.00705728695408357,2018-07-12,5.928960000000001,0.0011903077359408005
maize,2,9,0.023129073955106383,2018-07-13,5.560320000000002,0.004159665982372665
pavement,-1,9,4.866652358754714,2018-07-13,5.560320000000002,0.8752468129090974
sorghum,1,9,0.008148784245506897,2018-07-13,5.560320000000002,0.0014655243305253824
maize,2,10,0.03663679758107196,2018-07-14,6.912,0.005300462613002309
pavement,-1,10,6.041107149395332,2018-07-14,6.912,0.8740027704565005
sorghum,1,10,0.011629316169764642,2018-07-14,6.912,0.0016824820847460421
maize,2,11,0.017100891607092675,2018-07-15,2.5497600000000005,0.006706863236968449
pavement,-1,11,2.22482894809401,2018-07-15,2.5497600000000005,0.872564064105645
sorghum,1,11,0.005075288201087986,2018-07-15,2.5497600000000005,0.001990496439307223
maize,2,12,0.030965106759845852,2018-07-16,3.7171200000000004,0.0083304027741493
pavement,-1,12,3.2372837275870956,2018-07-16,3.7171200000000004,0.8709118154880916
sorghum,1,12,0.008439432654724396,2018-07-16,3.7171200000000004,0.0022704224385342404
maize,2,13,0.0406847606049637,2018-07-17,4.05504,0.01003313422431436
pavement,-1,13,3.524899258029375,2018-07-17,4.05504,0.8692637453710383
sorghum,1,13,0.010837488804501165,2018-07-17,4.05504,0.0026725972627893104
maize,2,14,0.04358026249108624,2018-07-18,3.6864000000000012,0.011821902802486498
pavement,-1,14,3.1984567985895405,2018-07-18,3.6864000000000012,0.867636935381277
sorghum,1,14,0.010502851099081998,2018-07-18,3.6864000000000012,0.0028490807017909057
maize,2,15,0.08630948741007546,2018-07-19,6.144000000000001,0.0140477681331503
pavement,-1,15,5.3176541684726475,2018-07-19,6.144000000000001,0.8655036081498448
sorghum,1,15,0.01960276216910425,2018-07-19,6.144000000000001,0.0031905537384609777
maize,2,16,0.09044344861058763,2018-07-20,5.34528,0.016920245265091376
pavement,-1,16,4.612315850911119,2018-07-20,5.34528,0.8628763789569712
sorghum,1,16,0.019385930498895733,2018-07-20,5.34528,0.0036267380752543804
maize,2,17,0.09316829208703716,2018-07-21,4.54656,0.0204920405948755
pavement,-1,17,3.9075630911469164,2018-07-21,4.54656,0.8594548606302163
sorghum,1,17,0.01790697111781987,2018-07-21,4.54656,0.003938575784289631
maize,2,18,0.18119344468699922,2018-07-22,7.15776,0.025314266570407393
pavement,-1,18,6.121362795220114,2018-07-22,7.15776,0.8552064885131822
sorghum,1,18,0.030290257856073605,2018-07-22,7.15776,0.004231806858021729
maize,2,19,0.18453140981620372,2018-07-23,6.051840000000001,0.03049178593885557
pavement,-1,19,5.1484671660962285,2018-07-23,6.051840000000001,0.8507275747700249
sorghum,1,19,0.02834132496840645,2018-07-23,6.051840000000001,0.004683092244409377
maize,2,20,0.25766483600267226,2018-07-24,6.912,0.03727789872723846
pavement,-1,20,5.838564976913711,2018-07-24,6.912,0.8446997941136735
sorghum,1,20,0.03600891017749372,2018-07-24,6.912,0.005209622421512402
maize,2,21,0.1708749793930586,2018-07-25,3.6864000000000012,0.04635280473987048
pavement,-1,21,3.087784752262384,2018-07-25,3.6864000000000012,0.8376152214253426
sorghum,1,21,0.021561140684408054,2018-07-25,3.6864000000000012,0.005848833736004787
maize,2,22,0.24089364463013074,2018-07-26,4.42368,0.054455486072711126
pavement,-1,22,3.6750189632842076,2018-07-26,4.42368,0.8307605801694986
sorghum,1,22,0.027228473167057544,2018-07-26,4.42368,0.006155163385926999
maize,2,23,0.20670305927302585,2018-07-27,3.1027200000000006,0.06661995258129183
pavement,-1,23,2.5428396165732288,2018-07-27,3.1027200000000006,0.8195517534850802
sorghum,1,23,0.021585261210658672,2018-07-27,3.1027200000000006,0.00695688338317949
maize,2,24,0.5227725939177318,2018-07-28,6.758400000000001,0.07735153200724014
pavement,-1,24,5.476339243115492,2018-07-28,6.758400000000001,0.8103011427431775
sorghum,1,24,0.05001816014769893,2018-07-28,6.758400000000001,0.007400887805945035
maize,2,25,0.35130113546063235,2018-07-29,3.9014400000000005,0.09004396721739469
pavement,-1,25,3.116815268749778,2018-07-29,3.9014400000000005,0.7988884280547125
sorghum,1,25,0.03130000351679378,2018-07-29,3.9014400000000005,0.008022679707183445
maize,2,26,0.5264632566348035,2018-07-30,4.945920000000001,0.10644394908021226
pavement,-1,26,3.875036975205535,2018-07-30,4.945920000000001,0.7834815312834689
sorghum,1,26,0.04372518828706297,2018-07-30,4.945920000000001,0.008840658216684248
maize,2,27,0.818495358436464,2018-07-31,6.72768,0.12166086354233019
pavement,-1,27,5.181458386611457,2018-07-31,6.72768,0.7701701606811645
sorghum,1,27,0.06461884366976738,2018-07-31,6.72768,0.009604922301561217
maize,2,28,0.6649633340930108,2018-08-01,4.823040000000001,0.13787224117838764
pavement,-1,28,3.644974254878478,2018-08-01,4.823040000000001,0.7557420744755335
sorghum,1,28,0.04956799304104413,2018-08-01,4.823040000000001,0.010277334013618822
maize,2,29,0.8052383263269842,2018-08-02,5.038080000000001,0.15983039696213322
pavement,-1,29,3.7045293835793576,2018-08-02,5.038080000000001,0.7353057878357147
sorghum,1,29,0.054764072152995426,2018-08-02,5.038080000000001,0.010870028295103574
maize,2,30,0.9315644804864877,2018-08-03,5.19168,0.17943411005425752
pavement,-1,30,3.7263856436520926,2018-08-03,5.19168,0.7177610414455615
sorghum,1,30,0.061118072413957156,2018-08-03,5.19168,0.01177231116208186
maize,2,31,0.6226271146805216,2018-08-04,3.0720000000000005,0.20267809722673225
pavement,-1,31,2.1378554943242754,2018-08-04,3.0720000000000005,0.6959165020586833
sorghum,1,31,0.040887098239229154,2018-08-04,3.0720000000000005,0.013309602291415737
maize,2,32,1.604255973230798,2018-08-05,7.034879999999999,0.2280431184655315
pavement,-1,32,4.724089960560639,2018-08-05,7.034879999999999,0.6715238867700145
sorghum,1,32,0.1040893002048055,2018-08-05,7.034879999999999,0.014796172813865412
maize,2,33,1.4357375206760514,2018-08-06,5.806080000000001,0.24728173236952491
pavement,-1,33,3.7956484006379547,2018-08-06,5.806080000000001,0.6537368414899475
sorghum,1,33,0.09211981362890737,2018-08-06,5.806080000000001,0.01586609444391179
maize,2,34,0.9007600400611532,2018-08-07,3.3177600000000007,0.27149644340191964
pavement,-1,34,2.0933401837122463,2018-08-07,3.3177600000000007,0.6309498528260772
sorghum,1,34,0.05730201009654968,2018-08-07,3.3177600000000007,0.01727129451694808
maize,2,35,1.6707725178053265,2018-08-08,5.5910400000000005,0.29883036390462714
pavement,-1,35,3.3783239222018357,2018-08-08,5.5910400000000005,0.6042389112225696
sorghum,1,35,0.10534112105257912,2018-08-08,5.5910400000000005,0.018841060169946754
maize,2,36,2.093086715736575,2018-08-09,6.57408,0.31838473455397176
pavement,-1,36,3.8550772578281998,2018-08-09,6.57408,0.5864055895012229
sorghum,1,36,0.13054818649683766,2018-08-09,6.57408,0.01985801610215234
maize,2,37,1.8359324257758034,2018-08-10,5.376000000000001,0.34150528753270143
pavement,-1,37,3.0269082594254795,2018-08-10,5.376000000000001,0.563040970875275
sorghum,1,37,0.12209259150586094,2018-08-10,5.376000000000001,0.022710675503322342
maize,2,38,1.480945475282571,2018-08-11,4.085760000000001,0.3624651167182043
pavement,-1,38,2.2152072222928307,2018-08-11,4.085760000000001,0.5421775195539704
sorghum,1,38,0.10436341020830667,2018-08-11,4.085760000000001,0.02554320621091465
maize,2,39,2.1390864556837808,2018-08-12,5.5910400000000005,0.38259187122320365
pavement,-1,39,2.9169489085621523,2018-08-12,5.5910400000000005,0.5217184832450049
sorghum,1,39,0.1579465512199673,2018-08-12,5.5910400000000005,0.028249941195192182
maize,2,40,2.7394657424586484,2018-08-13,6.72768,0.40719322893756066
pavement,-1,40,3.341660222986038,2018-08-13,6.72768,0.4967032057092546
sorghum,1,40,0.208527011470179,2018-08-13,6.72768,0.030995381984603755
maize,2,41,2.6915215642209627,2018-08-14,6.297600000000001,0.4273884597657778
pavement,-1,41,2.9978886610928774,2018-08-14,6.297600000000001,0.4760366903412216
sorghum,1,41,0.21318462371650695,2018-08-14,6.297600000000001,0.033851725056609966
maize,2,42,1.6002566545014822,2018-08-15,3.5942400000000005,0.4452281023252432
pavement,-1,42,1.6449694545277207,2018-08-15,3.5942400000000005,0.4576682287570447
