group,object_id,step_number,apar_sum,date,Ri_PAR_q,fapar
maize,2,1,0.002067188502975556,2018-07-05,3.5328000000000004,0.0005851416731701641
pavement,-1,1,3.1076118290450787,2018-07-05,3.5328000000000004,0.8796455584932853
maize,2,2,0.0032667473232474496,2018-07-06,3.302400000000001,0.0009892040101887865
pavement,-1,2,2.9026392555583262,2018-07-06,3.302400000000001,0.8789484179864115
sorghum,1,2,0.0006799086712945815,2018-07-06,3.302400000000001,0.00020588319746081072
maize,2,3,0.004089172670603775,2018-07-07,2.9030400000000003,0.001408582958072839
pavement,-1,3,2.55016585802421,2018-07-07,2.9030400000000003,0.8784466827960379
sorghum,1,3,0.0010361681031045857,2018-07-07,2.9030400000000003,0.00035692518983706237
maize,2,4,0.005989491453323881,2018-07-08,2.9952000000000005,0.001999696665773197
pavement,-1,4,2.6292739138096763,2018-07-08,2.9952000000000005,0.8778291645999184
sorghum,1,4,0.001662651857450279,2018-07-08,2.9952000000000005,0.00055510545454403
maize,2,5,0.010641847480260867,2018-07-09,3.57888,0.0029735133562066533
pavement,-1,5,3.1387815445272627,2018-07-09,3.57888,0.8770289991637783
sorghum,1,5,0.0017755667354874612,2018-07-09,3.57888,0.0004961235737122958
maize,2,6,0.013502653488159313,2018-07-10,3.471360000000001,0.003889730102368901
pavement,-1,6,3.0402158097576737,2018-07-10,3.471360000000001,0.875799631774772
sorghum,1,6,0.003397966987459577,2018-07-10,3.471360000000001,0.0009788575622982278
maize,2,7,0.014247160041015778,2018-07-11,2.703360000000001,0.0052701675104372975
pavement,-1,7,2.362255042982689,2018-07-11,2.703360000000001,0.873821852429084
sorghum,1,7,0.005295881281474855,2018-07-11,2.703360000000001,0.0019589996454319266
maize,2,8,0.01985028268618759,2018-07-12,2.9644800000000004,0.00669604203306738
pavement,-1,8,2.585278163177958,2018-07-12,2.9644800000000004,0.8720848726177803
sorghum,1,8,0.006917203261145457,2018-07-12,2.9644800000000004,0.0023333614195897613
maize,2,9,0.023004554135884293,2018-07-13,2.780160000000001,0.008274543240635174
pavement,-1,9,2.4201329170019124,2018-07-13,2.780160000000001,0.8705013081987769
sorghum,1,9,0.007910998713981014,2018-07-13,2.780160000000001,0.0028455192197503064
maize,2,10,0.036204363746951594,2018-07-14,3.456,0.010475799695298493
pavement,-1,10,3.0013313000773034,2018-07-14,3.456,0.8684407696982939
sorghum,1,10,0.010939894755091377,2018-07-14,3.456,0.003165478806450051
maize,2,11,0.016995869619901797,2018-07-15,1.2748800000000002,0.013331348534687024
pavement,-1,11,1.1030377540231973,2018-07-15,1.2748800000000002,0.8652090816572517
sorghum,1,11,0.004989845223782081,2018-07-15,1.2748800000000002,0.003913972470963605
maize,2,12,0.030905432606006516,2018-07-16,1.8585600000000002,0.016628697812288283
pavement,-1,12,1.601619230712486,2018-07-16,1.8585600000000002,0.8617527713458192
sorghum,1,12,0.008387806481387199,2018-07-16,1.8585600000000002,0.004513067364727099
maize,2,13,0.040550126096776294,2018-07-17,2.02752,0.019999864907264193
pavement,-1,13,1.7408333144381871,2018-07-17,2.02752,0.8586022897126475
sorghum,1,13,0.010570930442676508,2018-07-17,2.02752,0.005213724373952665
maize,2,14,0.0432595504125297,2018-07-18,1.8432000000000006,0.02346980816652001
pavement,-1,14,1.5766303525740477,2018-07-18,1.8432000000000006,0.8553767103808849
sorghum,1,14,0.010362672320375944,2018-07-18,1.8432000000000006,0.0056221095488150725
maize,2,15,0.08561621630747748,2018-07-19,3.0720000000000005,0.02786986207925699
pavement,-1,15,2.614811983781895,2018-07-19,3.0720000000000005,0.8511757759706688
sorghum,1,15,0.019279975395110557,2018-07-19,3.0720000000000005,0.00627603365726255
maize,2,16,0.08976904261490828,2018-07-20,2.67264,0.03358815351671317
pavement,-1,16,2.260885382384708,2018-07-20,2.67264,0.8459371192471519
sorghum,1,16,0.019000111219546468,2018-07-20,2.67264,0.007109117284612394
maize,2,17,0.09340378018092443,2018-07-21,2.27328,0.041087670758078385
pavement,-1,17,1.9081984905714318,2018-07-21,2.27328,0.8394031929948935
sorghum,1,17,0.017877448334649618,2018-07-21,2.27328,0.00786416470239021
maize,2,18,0.1814478463997953,2018-07-22,3.57888,0.050699617310386295
pavement,-1,18,2.974375360410945,2018-07-22,3.57888,0.8310911124181154
sorghum,1,18,0.029929355698322068,2018-07-22,3.57888,0.00836277150905369
maize,2,19,0.18431707706089423,2018-07-23,3.0259200000000006,0.06091273961667665
pavement,-1,19,2.4879569688753542,2018-07-23,3.0259200000000006,0.8222150515794713
sorghum,1,19,0.027895524302002216,2018-07-23,3.0259200000000006,0.009218857174678184
maize,2,20,0.25730874583820595,2018-07-24,3.456,0.07445276210596237
pavement,-1,20,2.7993211694906868,2018-07-24,3.456,0.8099887643202218
sorghum,1,20,0.03539459418785781,2018-07-24,3.456,0.010241491373801448
maize,2,21,0.1682014664963397,2018-07-25,1.8432000000000006,0.09125513590296205
pavement,-1,21,1.4660691100987866,2018-07-25,1.8432000000000006,0.7953933974060254
sorghum,1,21,0.020426903433915126,2018-07-25,1.8432000000000006,0.011082304380379297
maize,2,22,0.23633276047303628,2018-07-26,2.21184,0.1068489404627081
pavement,-1,22,1.729695730719106,2018-07-26,2.21184,0.7820166606622115
sorghum,1,22,0.025594195316516112,2018-07-26,2.21184,0.01157144970545614
maize,2,23,0.20181514876832649,2018-07-27,1.5513600000000003,0.13008917902248765
pavement,-1,23,1.179905703341791,2018-07-27,1.5513600000000003,0.7605621540724208
sorghum,1,23,0.01962636382266796,2018-07-27,1.5513600000000003,0.012651069914570413
maize,2,24,0.5067770044885401,2018-07-28,3.3792000000000004,0.1499695207411636
pavement,-1,24,2.5128210611636406,2018-07-28,3.3792000000000004,0.7436141871341265
sorghum,1,24,0.044443584332084535,2018-07-28,3.3792000000000004,0.013152102371000394
maize,2,25,0.3387667451923044,2018-07-29,1.9507200000000002,0.1736624144891652
pavement,-1,25,1.4094234637799916,2018-07-29,1.9507200000000002,0.7225144888964031
sorghum,1,25,0.02637463620714431,2018-07-29,1.9507200000000002,0.01352046229450885
maize,2,26,0.5071994720182507,2018-07-30,2.4729600000000005,0.20509813018336348
pavement,-1,26,1.7137566749941924,2018-07-30,2.4729600000000005,0.6929981378567353
sorghum,1,26,0.035648629401610295,2018-07-30,2.4729600000000005,0.014415368385097329
maize,2,27,0.780793240392685,2018-07-31,3.36384,0.23211366782982693
pavement,-1,27,2.2502130674292546,2018-07-31,3.36384,0.6689417651937234
sorghum,1,27,0.050843494034094563,2018-07-31,3.36384,0.015114718308271071
maize,2,28,0.6309863347198542,2018-08-01,2.4115200000000003,0.2616550286623599
pavement,-1,28,1.5476424386350196,2018-08-01,2.4115200000000003,0.6417705176133806
sorghum,1,28,0.03809471338184074,2018-08-01,2.4115200000000003,0.01579697177789972
maize,2,29,0.7531363579809586,2018-08-02,2.5190400000000004,0.2989775303214552
pavement,-1,29,1.526848250719213,2018-08-02,2.5190400000000004,0.6061230670093419
sorghum,1,29,0.04323101524197288,2018-08-02,2.5190400000000004,0.017161702570015907
maize,2,30,0.8599416929156587,2018-08-03,2.59584,0.33127684792423984
pavement,-1,30,1.498162400439241,2018-08-03,2.59584,0.5771397314315371
sorghum,1,30,0.04766635657655242,2018-08-03,2.59584,0.018362594218654625
maize,2,31,0.5654526419638183,2018-08-04,1.5360000000000003,0.36813323044519414
pavement,-1,31,0.8329133334642016,2018-08-04,1.5360000000000003,0.5422612848074229
sorghum,1,31,0.030148803213434106,2018-08-04,1.5360000000000003,0.019628127092079492
maize,2,32,1.439567592669411,2018-08-05,3.5174399999999997,0.4092657138911854
pavement,-1,32,1.771562133324927,2018-08-05,3.5174399999999997,0.5036509885953782
sorghum,1,32,0.07038948098282656,2018-08-05,3.5174399999999997,0.020011565508672946
maize,2,33,1.2778855421026267,2018-08-06,2.9030400000000003,0.4401887476929793
pavement,-1,33,1.380794087049217,2018-08-06,2.9030400000000003,0.4756372929925929
sorghum,1,33,0.05991352286727449,2018-08-06,2.9030400000000003,0.02063820094358827
maize,2,34,0.7883800844172482,2018-08-07,1.6588800000000004,0.47524841122760414
pavement,-1,34,0.7346836514515818,2018-08-07,1.6588800000000004,0.44287932306832417
sorghum,1,34,0.036870105137328475,2018-08-07,1.6588800000000004,0.02222590249887181
maize,2,35,1.437984431825606,2018-08-08,2.7955200000000002,0.5143888907343199
pavement,-1,35,1.1317131761766295,2018-08-08,2.7955200000000002,0.40483100681684603
sorghum,1,35,0.06518432645908746,2018-08-08,2.7955200000000002,0.023317424471685933
maize,2,36,1.7862085023786483,2018-08-09,3.28704,0.5434094207489559
pavement,-1,36,1.241927030000197,2018-08-09,3.28704,0.3778253474250989
sorghum,1,36,0.08136265363240043,2018-08-09,3.28704,0.024752559637972286
maize,2,37,1.5490907824094857,2018-08-10,2.6880000000000006,0.5762986541701954
pavement,-1,37,0.9345025384494479,2018-08-10,2.6880000000000006,0.3476571943636338
sorghum,1,37,0.06947471847948856,2018-08-10,2.6880000000000006,0.025846249434333536
maize,2,38,1.2404273510044908,2018-08-11,2.0428800000000007,0.6071954059976554
pavement,-1,38,0.6505797516421716,2018-08-11,2.0428800000000007,0.3184620494802296
sorghum,1,38,0.05598265097347336,2018-08-11,2.0428800000000007,0.027403788266307048
maize,2,39,1.7716432413110326,2018-08-12,2.7955200000000002,0.6337437189900385
pavement,-1,39,0.8239362538764445,2018-08-12,2.7955200000000002,0.2947345230498957
sorghum,1,39,0.07645552646769206,2018-08-12,2.7955200000000002,0.027349304053518507
maize,2,40,2.236653342393281,2018-08-13,3.36384,0.6649107396289006
pavement,-1,40,0.8876680309303974,2018-08-13,3.36384,0.26388533073225756
sorghum,1,40,0.09489035142880813,2018-08-13,3.36384,0.0282089372350671
maize,2,41,2.17032791588882,2018-08-14,3.1488000000000005,0.6892555627187562
pavement,-1,41,0.7547407071689597,2018-08-14,3.1488000000000005,0.23969153555924783
sorghum,1,41,0.09425249938287716,2018-08-14,3.1488000000000005,0.02993283135889137
maize,2,42,1.275859319450418,2018-08-15,1.7971200000000003,0.7099466476642727
pavement,-1,42,0.3947688426942287,2018-08-15,1.7971200000000003,0.2196674917057451
sorghum,1,42,0.055442071042785854,2018-08-15,1.7971200000000003,0.030850511397561568
maize,2,43,2.7165028294682645,2018-08-16,3.6864000000000012,0.7368985540007226
pavement,-1,43,0.7107998176590551,2018-08-16,3.6864000000000012,0.19281679081463077
sorghum,1,43,0.1165233432617426,2018-08-16,3.6864000000000012,0.031608979834457075
maize,2,44,2.536539851117688,2018-08-17,3.348480000000001,0.757519785430311
pavement,-1,44,0.5813781207246923,2018-08-17,3.348480000000001,0.17362448655052207
sorghum,1,44,0.10983959134882185,2018-08-17,3.348480000000001,0.03280282138427639
maize,2,45,1.8391034841645935,2018-08-18,2.3808000000000002,0.7724729016148325
pavement,-1,45,0.3811033611292338,2018-08-18,2.3808000000000002,0.16007365638828705
sorghum,1,45,0.0790220892395541,2018-08-18,2.3808000000000002,0.03319140173032346
maize,2,46,2.119333889482168,2018-08-19,2.7187200000000002,0.7795337105263388
pavement,-1,46,0.4180988862696289,2018-08-19,2.7187200000000002,0.15378519533811089
sorghum,1,46,0.09307567832298069,2018-08-19,2.7187200000000002,0.034235110023459824
maize,2,47,2.4997174244312013,2018-08-20,3.1488000000000005,0.7938635113158031
pavement,-1,47,0.4456922975489259,2018-08-20,3.1488000000000005,0.14154353961792615
sorghum,1,47,0.10433903917949006,2018-08-20,3.1488000000000005,0.033136127788201866
maize,2,48,1.6863891422064512,2018-08-21,2.0889600000000006,0.8072864689637191
pavement,-1,48,0.26826947371396703,2018-08-21,2.0889600000000006,0.12842250388421367
sorghum,1,48,0.07196606443865293,2018-08-21,2.0889600000000006,0.03445066657028038
maize,2,49,1.6533162409496247,2018-08-22,2.01216,0.8216624130037495
pavement,-1,49,0.23274338321845264,2018-08-22,2.01216,0.11566842756960312
sorghum,1,49,0.06843641822302066,2018-08-22,2.01216,0.0340114196798568
maize,2,50,2.2221807354357037,2018-08-23,2.67264,0.8314553158808159
pavement,-1,50,0.28962649601511375,2018-08-23,2.67264,0.10836719349224504
sorghum,1,50,0.0865785738781224,2018-08-23,2.67264,0.03239440174438847
maize,2,51,2.951767749515047,2018-08-24,3.5174399999999997,0.8391806966188613
pavement,-1,51,0.35097400989075395,2018-08-24,3.5174399999999997,0.09978109360522254
sorghum,1,51,0.11673780072734623,2018-08-24,3.5174399999999997,0.03318828486835489
maize,2,52,2.7547972571595953,2018-08-25,3.2563200000000005,0.845984810202804
pavement,-1,52,0.3041608166453746,2018-08-25,3.2563200000000005,0.09340630424693351
sorghum,1,52,0.11094341580534167,2018-08-25,3.2563200000000005,0.034070182231888034
maize,2,53,1.0305817142992286,2018-08-26,1.21344,0.8493058695108358
pavement,-1,53,0.10843057870782023,2018-08-26,1.21344,0.08935800592350691
sorghum,1,53,0.04255980198664639,2018-08-26,1.21344,0.03507367647897414
maize,2,54,2.2332908463667374,2018-08-27,2.6265600000000004,0.850272160684217
pavement,-1,54,0.2322163053755671,2018-08-27,2.6265600000000004,0.08841081314554666
sorghum,1,54,0.09623961039486996,2018-08-27,2.6265600000000004,0.03664093353849519
maize,2,55,1.01926532539801,2018-08-28,1.1980800000000003,0.8507489695162341
pavement,-1,55,0.10125947258835451,2018-08-28,1.1980800000000003,0.08451812282014097
sorghum,1,55,0.04690604354598175,2018-08-28,1.1980800000000003,0.03915101123963487
maize,2,56,1.862600025981425,2018-08-29,2.18112,0.8539649473579743
pavement,-1,56,0.17704577272629055,2018-08-29,2.18112,0.0811719541915578
sorghum,1,56,0.08444486940195708,2018-08-29,2.18112,0.038716287687957145
maize,2,57,2.6359641742348727,2018-08-30,3.0873600000000003,0.8537922931679081
pavement,-1,57,0.25046797624495043,2018-08-30,3.0873600000000003,0.08112690980156198
sorghum,1,57,0.11976949345116014,2018-08-30,3.0873600000000003,0.03879349782699786
maize,2,58,1.363807468039227,2018-08-31,1.5974400000000004,0.853745660581447
pavement,-1,58,0.1293635408680584,2018-08-31,1.5974400000000004,0.08098178389677131
sorghum,1,58,0.06220159804723978,2018-08-31,1.5974400000000004,0.03893830005962024
maize,2,59,2.5833619359193816,2018-09-01,3.0259200000000006,0.8537442946011068
pavement,-1,59,0.2447286042522432,2018-09-01,3.0259200000000006,0.0808774205042576
sorghum,1,59,0.11821533192704423,2018-09-01,3.0259200000000006,0.039067566864637596
maize,2,60,1.7706096013073382,2018-09-02,2.0736000000000003,0.8538819450749122
pavement,-1,60,0.1675923643229706,2018-09-02,2.0736000000000003,0.08082193495513626
sorghum,1,60,0.08112675090448156,2018-09-02,2.0736000000000003,0.03912362601489272
maize,2,61,2.451727366727269,2018-09-03,2.87232,0.8535704123242775
pavement,-1,61,0.2321350752593641,2018-09-03,2.87232,0.08081797127735214
sorghum,1,61,0.11280056464216821,2018-09-03,2.87232,0.039271586954854686
maize,2,62,2.9105775498301485,2018-09-04,3.40992,0.8535618283801815
pavement,-1,62,0.27571140067594596,2018-09-04,3.40992,0.08085568009687792
sorghum,1,62,0.13434302913803337,2018-09-04,3.40992,0.03939770702480802
maize,2,63,2.5028409420261912,2018-09-05,2.933760000000001,0.8531171404703147
pavement,-1,63,0.2373065376128493,2018-09-05,2.933760000000001,0.08088819044940597
sorghum,1,63,0.11596447449807981,2018-09-05,2.933760000000001,0.03952759411065656
maize,2,64,3.0144905713981194,2018-09-06,3.5328000000000004,0.8532865068495582
pavement,-1,64,0.2859258631105613,2018-09-06,3.5328000000000004,0.08093463063591522
sorghum,1,64,0.13952410929437825,2018-09-06,3.5328000000000004,0.03949391680660616
maize,2,65,2.62100408922897,2018-09-07,3.0720000000000005,0.8531914352958886
pavement,-1,65,0.2487916000097153,2018-09-07,3.0720000000000005,0.08098684896149586
sorghum,1,65,0.12167654784078624,2018-09-07,3.0720000000000005,0.03960825125025593
maize,2,66,2.38339201469391,2018-09-08,2.7955200000000002,0.8525755547067843
pavement,-1,66,0.22645597452568753,2018-09-08,2.7955200000000002,0.08100674455045484
sorghum,1,66,0.11083304569739132,2018-09-08,2.7955200000000002,0.03964666527064421
maize,2,67,1.478645244658082,2018-09-09,1.7356800000000006,0.8519112075141049
pavement,-1,67,0.14066742032131668,2018-09-09,1.7356800000000006,0.08104455908999161
sorghum,1,67,0.06885246955653508,2018-09-09,1.7356800000000006,0.039668873039117265
maize,2,68,1.726747550347933,2018-09-10,2.02752,0.8516550023417441
pavement,-1,68,0.16438629633806046,2018-09-10,2.02752,0.08107752147355413
sorghum,1,68,0.08035024735913616,2018-09-10,2.02752,0.039629817392250716
maize,2,69,1.5959333419882398,2018-09-11,1.8739200000000007,0.8516550023417431
pavement,-1,69,0.15193278903972252,2018-09-11,1.8739200000000007,0.08107752147355408
sorghum,1,69,0.0742631074076864,2018-09-11,1.8739200000000007,0.03962981739225067
maize,2,70,1.595933341988239,2018-09-12,1.8739200000000007,0.8516550023417427
pavement,-1,70,0.1519327890397225,2018-09-12,1.8739200000000007,0.08107752147355407
sorghum,1,70,0.07426310740768637,2018-09-12,1.8739200000000007,0.03962981739225065
maize,2,71,2.824824614397536,2018-09-13,3.3177600000000007,0.8514252430548127
pavement,-1,71,0.26902578332109284,2018-09-13,3.3177600000000007,0.08108657145818045
sorghum,1,71,0.13157533559269854,2018-09-13,3.3177600000000007,0.03965788230393353
maize,2,72,0.9936610716696309,2018-09-14,1.1673600000000002,0.8512036318441876
pavement,-1,72,0.09467146318452986,2018-09-14,1.1673600000000002,0.08109877260187932
sorghum,1,72,0.046337127717825034,2018-09-14,1.1673600000000002,0.039693948497314474
maize,2,73,2.9156107760832612,2018-09-15,3.4252800000000008,0.8512036318441881
pavement,-1,73,0.2777860038177651,2018-09-15,3.4252800000000008,0.08109877260187927
sorghum,1,73,0.1359628879088815,2018-09-15,3.4252800000000008,0.039693948497314516
maize,2,74,1.3856045681925453,2018-09-16,1.6281600000000003,0.8510248183179449
pavement,-1,74,0.13208057241937998,2018-09-16,1.6281600000000003,0.08112260000207594
sorghum,1,74,0.0646667606195319,2018-09-16,1.6281600000000003,0.03971769397327774
maize,2,75,2.796261615869358,2018-09-17,3.28704,0.8506929078652399
pavement,-1,75,0.26647313464548916,2018-09-17,3.28704,0.08106781014088334
sorghum,1,75,0.13055439628626653,2018-09-17,3.28704,0.039717921377977305
maize,2,76,2.7178617574804944,2018-09-18,3.194880000000001,0.8506929078652387
pavement,-1,76,0.259001925262905,2018-09-18,3.194880000000001,0.0810678101408832
sorghum,1,76,0.12689399265207207,2018-09-18,3.194880000000001,0.03971792137797728
maize,2,77,2.810156380443083,2018-09-19,3.302400000000001,0.8509436714035495
pavement,-1,77,0.26770947846776444,2018-09-19,3.302400000000001,0.08106512792749648
sorghum,1,77,0.13088346979701584,2018-09-19,3.302400000000001,0.03963283363523977
maize,2,78,2.901948672019722,2018-09-20,3.40992,0.85103130631209
pavement,-1,78,0.2762237896402739,2018-09-20,3.40992,0.08100594431548948
sorghum,1,78,0.13524558978228335,2018-09-20,3.40992,0.03966239377530363
maize,2,79,2.796980015629606,2018-09-21,3.28704,0.8509114630882514
pavement,-1,79,0.2663456400616164,2018-09-21,3.28704,0.08102902309117514
sorghum,1,79,0.1304094100095096,2018-09-21,3.28704,0.03967381291663916
maize,2,80,2.065421442326217,2018-09-22,2.42688,0.8510603912538803
pavement,-1,80,0.1966251596485345,2018-09-22,2.42688,0.08101972888998817
sorghum,1,80,0.09622302207619696,2018-09-22,2.42688,0.03964885864822198
maize,2,81,2.30148421579207,2018-09-23,2.703360000000001,0.8513421134410767
pavement,-1,81,0.21878668496900655,2018-09-23,2.703360000000001,0.08093139092425962
sorghum,1,81,0.10710956473321327,2018-09-23,2.703360000000001,0.03962090314764339
maize,2,82,2.3930199220614936,2018-09-24,2.810880000000001,0.851341900778935
pavement,-1,82,0.2274878589987356,2018-09-24,2.810880000000001,0.08093118845298822
sorghum,1,82,0.11136367358549111,2018-09-24,2.810880000000001,0.03961879325531189
maize,2,83,1.9101237465729035,2018-09-25,2.24256,0.8517603750057539
pavement,-1,83,0.1814582876628263,2018-09-25,2.24256,0.08091568906197662
sorghum,1,83,0.08875695031323666,2018-09-25,2.24256,0.03957840606861652
maize,2,84,2.71184317535596,2018-09-26,3.1795200000000006,0.8529096138272316
pavement,-1,84,0.2570932818614307,2018-09-26,3.1795200000000006,0.08085914913616857
sorghum,1,84,0.1256213243789178,2018-09-26,3.1795200000000006,0.03950952482730657
maize,2,85,2.752219606639326,2018-09-27,3.2256000000000005,0.8532426855900688
pavement,-1,85,0.2606208339355815,2018-09-27,3.2256000000000005,0.08079762956832262
sorghum,1,85,0.12730040866374154,2018-09-27,3.2256000000000005,0.03946565248751907
maize,2,86,2.502531335879258,2018-09-28,2.933760000000001,0.853011608270362
pavement,-1,86,0.23733777597593977,2018-09-28,2.933760000000001,0.08089883834258416
sorghum,1,86,0.11599488907617744,2018-09-28,2.933760000000001,0.03953796120888464
maize,2,87,1.7178797696538406,2018-09-29,2.01216,0.8537490903575463
pavement,-1,87,0.16275593751301942,2018-09-29,2.01216,0.08088618077738322
