group,object_id,step_number,apar_sum,Ri_PAR_q,fapar
maize,7,1,0.0038495507442352543,23.63885088919288,0.00016284847187708168
maize,8,1,0.003866636210947348,23.63885088919288,0.0001635712424885713
maize,9,1,0.0038504063669771047,23.63885088919288,0.00016288466749191343
maize,10,1,0.003849614729099317,23.63885088919288,0.0001628511786441899
maize,11,1,0.0038334708162025503,23.63885088919288,0.00016216823881042044
maize,12,1,0.003839271757387759,23.63885088919288,0.00016241363742190118
pavement,-1,1,20.78671490707685,23.63885088919288,0.8793454049232164
maize,7,2,0.002202018334677859,9.020087839297283,0.00024412382383733072
maize,8,2,0.0022108785753825614,9.020087839297283,0.0002451061025980875
maize,9,2,0.0022016206772153147,9.020087839297283,0.00024407973807346359
maize,10,2,0.0022020642323865073,9.020087839297283,0.00024412891222554446
maize,11,2,0.002193894725252623,9.020087839297283,0.00024322321072025617
maize,12,2,0.0021969022993894973,9.020087839297283,0.00024355664141300078
pavement,-1,2,7.927467982982721,9.020087839297283,0.8788681578515889
sorghum,1,2,0.0002729164327852635,9.020087839297283,3.0256516083608926e-5
sorghum,2,2,0.000271618864221476,9.020087839297283,3.0112662876533218e-5
sorghum,3,2,0.00027162032912823045,9.020087839297283,3.011282528146547e-5
sorghum,4,2,0.0002722421032257975,9.020087839297283,3.0181757436966017e-5
sorghum,5,2,0.0002722421032257975,9.020087839297283,3.0181757436966017e-5
sorghum,6,2,0.0002722389291787872,9.020087839297283,3.018140555048034e-5
maize,7,3,0.00673729107237958,20.010079919360642,0.00033669486076669545
maize,8,3,0.006761989274748571,20.010079919360642,0.0003379291488089483
maize,9,3,0.006735505455286796,20.010079919360642,0.00033660562488658006
maize,10,3,0.0067357593903053506,20.010079919360642,0.00033661831524162
maize,11,3,0.006714122882352751,20.010079919360642,0.0003355370348049704
maize,12,3,0.006722328699060641,20.010079919360642,0.0003359471189596044
pavement,-1,3,17.570019972656755,20.010079919360642,0.878058460708944
sorghum,1,3,0.0023087547562475304,20.010079919360642,0.00011537958696575257
sorghum,2,3,0.0022877425515187714,20.010079919360642,0.00011432950596590465
sorghum,3,3,0.00229126694210488,20.010079919360642,0.00011450563672601713
sorghum,4,3,0.002300888268006323,20.010079919360642,0.00011498646068775124
sorghum,5,3,0.0022978665713995743,20.010079919360642,0.00011483545196520111
sorghum,6,3,0.0022948103023122546,20.010079919360642,0.0001146827154894031
maize,7,4,0.011145444146030931,23.327813377492973,0.00047777491896365326
maize,8,4,0.01118122977160282,23.327813377492973,0.0004793089515363939
maize,9,4,0.011140383489779544,23.327813377492973,0.00047755798237514855
maize,10,4,0.011140771032869702,23.327813377492973,0.0004775745952948375
maize,11,4,0.011112930803435183,23.327813377492973,0.0004763811602744176
maize,12,4,0.011116433636711751,23.327813377492973,0.0004765313172231159
pavement,-1,4,20.45794779381492,23.327813377492973,0.8769766571243689
sorghum,1,4,0.004104407391544383,23.327813377492973,0.00017594479710234554
