group,object_id,step_number,apar_sum,Ri_PAR_q,fapar
pavement,-1,1,13.864082681062435,15.759233926128589,0.8797434409597779
sorghum,1,1,0.002715564118422701,15.759233926128589,0.0001723157439728294
sorghum,2,1,0.0027159878138369887,15.759233926128589,0.00017234262950649643
pavement,-1,2,5.2893837069405025,6.013391892864855,0.8796006981046056
sorghum,1,2,0.0015916619036948126,6.013391892864855,0.00026468620905672005
sorghum,2,2,0.001593282430379318,6.013391892864855,0.0002649556953488788
pavement,-1,3,11.732278064455215,13.340053279573763,0.8794776016689254
sorghum,1,3,0.00500282204545544,13.340053279573763,0.00037502264350890873
sorghum,2,3,0.00500793736714977,13.340053279573763,0.0003754060993757727
pavement,-1,4,13.673982648917832,15.551875584995315,0.8792497454204622
sorghum,1,4,0.00798773608893007,15.551875584995315,0.0005136188265701378
sorghum,2,4,0.007996673622461082,15.551875584995315,0.000514193518251676
pavement,-1,5,12.817631522454732,14.58420332637339,0.8788708738910632
sorghum,1,5,0.010412179071050309,14.58420332637339,0.0007139354024378838
sorghum,2,5,0.010420810655514128,14.58420332637339,0.0007145272472079173
pavement,-1,6,6.862661471153583,7.810497516019872,0.8786458810181795
sorghum,1,6,0.006639155285993737,7.810497516019872,0.0008500297544908464
sorghum,2,6,0.006645928279659139,7.810497516019872,0.0008508969199500902
pavement,-1,7,10.562956313219772,12.02678378572971,0.8782860406747452
sorghum,1,7,0.012825354446810017,12.02678378572971,0.0010663993529199257
sorghum,2,7,0.012840892667436212,12.02678378572971,0.001067691320989114
pavement,-1,8,13.714296832677373,15.620995032039744,0.8779400290793512
sorghum,1,8,0.02061436706700019,15.620995032039744,0.0013196577442550039
sorghum,2,8,0.020643934454354012,15.620995032039744,0.0013215505422037373
pavement,-1,9,8.97642215583653,10.229678162574698,0.8774882272129335
sorghum,1,9,0.016471674575577938,10.229678162574698,0.0016101850237908361
sorghum,2,9,0.016487254480315888,10.229678162574698,0.0016117080340449562
pavement,-1,10,13.943544446227824,15.897472820217436,0.8770918877430175
sorghum,1,10,0.0296378273333496,15.897472820217436,0.0018643106151852024
sorghum,2,10,0.02968433728891696,15.897472820217436,0.0018672362346275713
pavement,-1,11,13.02623038703684,14.860681114551083,0.8765567531276874
sorghum,1,11,0.03274020797688105,14.860681114551083,0.0022031431617776207
sorghum,2,11,0.03278979797882532,14.860681114551083,0.0022064801556584543
pavement,-1,12,11.445540757637527,13.063575491396067,0.8761415100464486
sorghum,1,12,0.03152054759927995,13.063575491396067,0.0024128576146737173
sorghum,2,12,0.03156735907083988,13.063575491396067,0.0024164409729656917
pavement,-1,13,11.802164591388735,13.47829217366261,0.8756424359497764
sorghum,1,13,0.03703793428560585,13.47829217366261,0.002747969387247755
sorghum,2,13,0.03706036569000526,13.47829217366261,0.002749633648870102
maize,3,14,0.001109899270588496,16.104831161350706,6.891716277362135e-5
maize,4,14,0.0011151983127148828,16.104831161350706,6.924619709092012e-5
maize,5,14,0.0011152052596490407,16.104831161350706,6.924662844807551e-5
maize,6,14,0.001114021299688711,16.104831161350706,6.91731126223914e-5
maize,7,14,0.001113995136371373,16.104831161350706,6.917148805911124e-5
maize,8,14,0.0011119142493329428,16.104831161350706,6.904227918895407e-5
pavement,-1,14,14.08626793978167,16.104831161350706,0.8746610131242295
sorghum,1,14,0.05004613673683662,16.104831161350706,0.0031075232168183294
sorghum,2,14,0.0500545034701611,16.104831161350706,0.003108042733803056
maize,3,15,0.002225163832913676,15.620995032039744,0.00014244699702865987
maize,4,15,0.002252109742254976,15.620995032039744,0.000144171977369927
maize,5,15,0.0022520691959168645,15.620995032039744,0.00014416938173898106
maize,6,15,0.002245553952535715,15.620995032039744,0.00014375229925686094
maize,7,15,0.0022388760084274626,15.620995032039744,0.00014332480125852243
maize,8,15,0.0022168281624521747,15.620995032039744,0.00014191337734282013
pavement,-1,15,13.65072898138226,15.620995032039744,0.873870643539907
sorghum,1,15,0.054901291383540725,15.620995032039744,0.0035145834993823614
sorghum,2,15,0.054914243173661996,15.620995032039744,0.003515412626470278
maize,3,16,0.0025353770078428506,12.165022679818561,0.00020841531286653264
maize,4,16,0.002565985868195849,12.165022679818561,0.00021093144959382192
maize,5,16,0.00256591959423404,12.165022679818561,0.0002109260016827449
maize,6,16,0.0025577253459684096,12.165022679818561,0.00021025241080821047
maize,7,16,0.0025519102218356936,12.165022679818561,0.00020977439080892488
maize,8,16,0.0025241404114617573,12.165022679818561,0.00020749163218982213
pavement,-1,16,10.617210525793347,12.165022679818561,0.8727653704589476
sorghum,1,16,0.049250338042386335,12.165022679818561,0.0040485200347461165
sorghum,2,16,0.04927083090826638,12.165022679818561,0.004050204607510132
maize,3,17,0.00370582495731549,13.340053279573763,0.00027779686329962674
maize,4,17,0.0037515743613099808,13.340053279573763,0.00028122634015670514
maize,5,17,0.003751250049255247,13.340053279573763,0.0002812020290053224
maize,6,17,0.003743730491255982,13.340053279573763,0.0002806383462492138
maize,7,17,0.003733044344261461,13.340053279573763,0.00027983728895427155
maize,8,17,0.0036838465281376614,13.340053279573763,0.00027614931147076845
pavement,-1,17,11.623109470109284,13.340053279573763,0.8712940815541227
sorghum,1,17,0.06233895005192627,13.340053279573763,0.004673066047448209
sorghum,2,17,0.06235347715929561,13.340053279573763,0.004674155031657258
maize,3,18,0.0050574830377651675,12.51061991504068,0.0004042551905589342
maize,4,18,0.005074645538819765,12.51061991504068,0.0004056270251419643
maize,5,18,0.005071768665120723,12.51061991504068,0.0004053970706138451
maize,6,18,0.005082409950030745,12.51061991504068,0.0004062476507595362
maize,7,18,0.005064867860206389,12.51061991504068,0.000404845474852708
maize,8,18,0.005000915577262926,12.51061991504068,0.00039973363520145474
pavement,-1,18,10.875039609694813,12.51061991504068,0.8692646474392913
sorghum,1,18,0.06799697565082419,12.51061991504068,0.00543514039372869
sorghum,2,18,0.06799033235734768,12.51061991504068,0.005434609381395039
maize,3,19,0.008492344004640653,15.551875584995315,0.0005460655827798799
maize,4,19,0.008512347109071011,15.551875584995315,0.0005473518009161449
maize,5,19,0.00855244528203776,15.551875584995315,0.0005499301505658449
maize,6,19,0.008585801503976037,15.551875584995315,0.0005520749865218667
