group,object_id,step_number,apar_sum,Ri_PAR_q,fapar
maize,2,1,0.0021685138317753248,5.90976590976591,0.00036693734826143414
pavement,-1,1,5.198685420146728,5.90976590976591,0.8796770463540495
sorghum,1,1,0.0,5.90976590976591,0.0
maize,2,2,0.0014619877618296505,2.255042255042255,0.0006483194532433521
pavement,-1,2,1.9826418161754304,2.255042255042255,0.8792038427405343
sorghum,1,2,0.0010318025456550633,2.255042255042255,0.00045755353069236806
maize,2,3,0.004911227415053012,5.002565002565003,0.0009817418489384627
pavement,-1,3,4.3957343862746585,5.002565002565003,0.878696105701935
sorghum,1,3,0.003616329430162385,5.002565002565003,0.0007228950405058519
maize,2,4,0.00919881221102566,5.832005832005832,0.0015772981845359137
pavement,-1,4,5.120055122241098,5.832005832005832,0.8779235257520535
sorghum,1,4,0.005955167862352318,5.832005832005832,0.0010211182968423277
maize,2,5,0.011512042252082907,5.46912546912547,0.0021049146370971297
pavement,-1,5,4.797594418355757,5.46912546912547,0.8772141808483519
sorghum,1,5,0.00761557286986426,5.46912546912547,0.001392466293350921
maize,2,6,0.009177958080404868,2.9289629289629295,0.003133518007226724
pavement,-1,6,2.5660593411970862,2.9289629289629295,0.8760982653015899
sorghum,1,6,0.005455898302789315,2.9289629289629295,0.0018627406474963847
maize,2,7,0.020456860703037375,4.51008451008451,0.004535804297523919
pavement,-1,7,3.9448392611878016,4.51008451008451,0.8746708076904491
sorghum,1,7,0.00998456691448947,4.51008451008451,0.0022138314464316723
maize,2,8,0.034560306634137145,5.857925857925859,0.00589975146021634
pavement,-1,8,5.115663974888078,5.857925857925859,0.873289300506682
sorghum,1,8,0.016413215908210634,5.857925857925859,0.0028018818104369337
maize,2,9,0.030530846081238055,3.8361638361638364,0.007958691908156065
pavement,-1,9,3.3416253757951204,3.8361638361638364,0.8710851565549259
sorghum,1,9,0.013374340532504646,3.8361638361638364,0.0034863840815200914
maize,2,10,0.060491838237626515,5.9616059616059625,0.01014690313771274
pavement,-1,10,5.179499355337635,5.9616059616059625,0.8688094095273549
sorghum,1,10,0.024990579246253083,5.9616059616059625,0.004191920668222261
maize,2,11,0.07093157171273504,5.572805572805574,0.012728161925991119
pavement,-1,11,4.828413603940324,5.572805572805574,0.8664241988814813
sorghum,1,11,0.02735457761725726,5.572805572805574,0.004908582806251729
maize,2,12,0.07299217737465238,4.8988848988849,0.014899753491098986
pavement,-1,12,4.232863940766039,4.8988848988849,0.8640464163037466
sorghum,1,12,0.027506912468728318,4.8988848988849,0.005614933405557157
maize,2,13,0.08986772680503943,5.054405054405055,0.017780080115802593
pavement,-1,13,4.353450695509159,5.054405054405055,0.8613181271878885
sorghum,1,13,0.03129999511113746,5.054405054405055,0.006192617088307682
maize,2,14,0.12627133600972537,6.039366039366039,0.0209080448488564
pavement,-1,14,5.183136562309617,6.039366039366039,0.8582252720773484
sorghum,1,14,0.04214242415727015,6.039366039366039,0.006977954951326962
maize,2,15,0.14084191527365783,5.857925857925859,0.02404296651913009
pavement,-1,15,5.007881627306637,5.857925857925859,0.8548898959741699
sorghum,1,15,0.0464842281167192,5.857925857925859,0.007935270818394766
maize,2,16,0.13114786815353227,4.561924561924563,0.028748364067248896
pavement,-1,16,3.8793350416269345,4.561924561924563,0.8503724664816331
sorghum,1,16,0.041315377586453726,4.561924561924563,0.009056567469634744
maize,2,17,0.17591846884375115,5.002565002565003,0.03516565377032605
pavement,-1,17,4.230534368321144,5.002565002565003,0.8456730429593599
sorghum,1,17,0.05273785512864696,5.002565002565003,0.010542162890758298
maize,2,18,0.18945735262936755,4.691524691524693,0.040382895771949145
pavement,-1,18,3.940647282075048,4.691524691524693,0.8399502381803263
