group,object_id,step_number,apar_sum,Ri_PAR_q,fapar
pavement,-1,1,17.327076841522807,19.699042407660734,0.8795898035523038
sorghum,1,1,0.002716345087356041,19.699042407660734,0.0001378922401984213
sorghum,2,1,0.002716346250297585,19.699042407660734,0.0001378922992338566
sorghum,3,1,0.002716343623908539,19.699042407660734,0.0001378921659081349
sorghum,4,1,0.0027163541208690203,19.699042407660734,0.00013789269877467045
pavement,-1,2,6.609960257150397,7.516739866081069,0.879365306624156
sorghum,1,2,0.0015656329514283742,7.516739866081069,0.00020828616917996834
sorghum,2,2,0.0015670182139357078,7.516739866081069,0.00020847045951487598
sorghum,3,2,0.0015670174908789655,7.516739866081069,0.00020847036332201108
sorghum,4,2,0.0015670392121610547,7.516739866081069,0.00020847325304315032
pavement,-1,3,14.660250640530569,16.6750665994672,0.8791719393192103
sorghum,1,3,0.004901687092847215,16.6750665994672,0.0002939530744065414
sorghum,2,3,0.004905664489819654,16.6750665994672,0.0002941915980099533
sorghum,3,3,0.004905664895059329,16.6750665994672,0.00029419162231208567
sorghum,4,3,0.0049058846151504056,16.6750665994672,0.0002942047988766148
pavement,-1,4,17.08289714797646,19.43984448124414,0.878756883289797
sorghum,1,4,0.007928306486196008,19.43984448124414,0.00040783795846954226
sorghum,2,4,0.00793422488138779,19.43984448124414,0.0004081424051022039
sorghum,3,4,0.007934232990071519,19.43984448124414,0.0004081428222189014
sorghum,4,4,0.007934860512274822,19.43984448124414,0.00040817510242587056
pavement,-1,5,16.012435921329182,18.230254157966733,0.8783440857477924
sorghum,1,5,0.009944519345254924,18.230254157966733,0.0005454953759330397
sorghum,2,5,0.0099503904054717,18.230254157966733,0.0005458174263096227
sorghum,3,5,0.009950391805860409,18.230254157966733,0.0005458175031263635
sorghum,4,5,0.009951252307307147,18.230254157966733,0.000545864704961252
pavement,-1,6,8.571110149417335,9.763121895024838,0.8779067025461459
sorghum,1,6,0.006375304823461985,9.763121895024838,0.0006529985891818844
sorghum,2,6,0.006377687845364859,9.763121895024838,0.0006532426731878506
sorghum,3,6,0.006379088859456498,9.763121895024838,0.0006533861738126203
sorghum,4,6,0.006381329867805984,9.763121895024838,0.0006536157119023402
pavement,-1,7,13.192340515735284,15.033479732162139,0.8775307347847098
sorghum,1,7,0.012036606408715426,15.033479732162139,0.0008006533831927615
sorghum,2,7,0.012038660041409898,15.033479732162139,0.0008007899871414852
sorghum,3,7,0.01204162736300899,15.033479732162139,0.0008009873680308041
sorghum,4,7,0.012050412804651644,15.033479732162139,0.0008015717597883463
pavement,-1,8,17.121198523468923,19.526243790049676,0.8768301116978611
sorghum,1,8,0.02001508900993356,19.526243790049676,0.0010250352922528292
sorghum,2,8,0.02000315149661506,19.526243790049676,0.0010244239348690509
sorghum,3,8,0.020005645147811217,19.526243790049676,0.0010245516425440636
sorghum,4,8,0.02003954901139276,19.526243790049676,0.001026287965410155
pavement,-1,9,11.202932413300982,12.787097703218372,0.8761122088307284
sorghum,1,9,0.01612773366990067,12.787097703218372,0.0012612505233178517
sorghum,2,9,0.016101861311896927,12.787097703218372,0.0012592272058611288
sorghum,3,9,0.01610433991180381,12.787097703218372,0.0012594210418639816
sorghum,4,9,0.016146528004101393,12.787097703218372,0.0012627203122126368
pavement,-1,10,17.397647387391952,19.87184102527179,0.8754924803024888
sorghum,1,10,0.028624779925561995,19.87184102527179,0.0014404694506743865
sorghum,2,10,0.028585085512597398,19.87184102527179,0.0014384719300161788
sorghum,3,10,0.028591035329282713,19.87184102527179,0.0014387713394507526
sorghum,4,10,0.02867066789386416,19.87184102527179,0.0014427786462966647
pavement,-1,11,16.250832069659943,18.575851393188852,0.874836459750027
sorghum,1,11,0.03085809379619907,18.575851393188852,0.0016611940493620502
sorghum,2,11,0.030805758749527293,18.575851393188852,0.0016583766793495528
sorghum,3,11,0.030808057120866005,18.575851393188852,0.0016585004083399535
sorghum,4,11,0.030908043329550893,18.575851393188852,0.0016638829992408233
pavement,-1,12,14.27429526167846,16.32946936424508,0.8741432402533166
sorghum,1,12,0.030159695431911854,16.32946936424508,0.0018469488970627153
sorghum,2,12,0.03008861017877539,16.32946936424508,0.001842595708875712
sorghum,3,12,0.030093842978095916,16.32946936424508,0.0018429161601533257
sorghum,4,12,0.030208878543292995,16.32946936424508,0.00184996082049293
pavement,-1,13,14.712407630724325,16.847865217078258,0.8732505537740607
sorghum,1,13,0.03547108504337843,16.847865217078258,0.002105375641741381
sorghum,2,13,0.03532960484929006,16.847865217078258,0.002096978127144401
sorghum,3,13,0.03533614844963851,16.847865217078258,0.0020973665205855957
sorghum,4,13,0.035505897576715933,16.847865217078258,0.002107441929243623
maize,5,14,0.0011099911558119483,20.131038951688378,5.513829457465006e-5
maize,6,14,0.0011153768158911276,20.131038951688378,5.540582473502102e-5
maize,7,14,0.0011153911091232763,20.131038951688378,5.540653474468237e-5
maize,8,14,0.0011141842581373841,20.131038951688378,5.534658498308346e-5
maize,9,14,0.0011141687298076481,20.131038951688378,5.5345813620523717e-5
maize,10,14,0.0011120845141867008,20.131038951688378,5.524228117860906e-5
pavement,-1,14,17.557365700120844,20.131038951688378,0.8721539778575769
sorghum,1,14,0.047446436654537114,20.131038951688378,0.0023568796805968034
sorghum,2,14,0.047227982221511845,20.131038951688378,0.002346028058206646
sorghum,3,14,0.047228540130856964,20.131038951688378,0.0023460557720939653
sorghum,4,14,0.04748118552003204,20.131038951688378,0.0023586058143337816
maize,5,15,0.0022271332476239804,19.526243790049676,0.0001140584575082945
