group,object_id,step_number,apar_sum,Ri_PAR_q,fapar
maize,3,1,0.003846923176860257,15.759233926128589,0.00024410597589278194
maize,4,1,0.0038331294906446176,15.759233926128589,0.00024323069944975833
maize,5,1,0.0038469838500542614,15.759233926128589,0.0002441098259018807
maize,6,1,0.0038402130985507477,15.759233926128589,0.00024368018880560738
maize,7,1,0.0038509666572736335,15.759233926128589,0.00024436255438081825
maize,8,1,0.0038661481205519467,15.759233926128589,0.0002453258920246071
pavement,-1,1,13.853053093391626,15.759233926128589,0.8790435600060139
maize,3,2,0.002219193656537763,6.013391892864855,0.0003690419144594468
maize,4,2,0.0022124327174812743,6.013391892864855,0.0003679176007315305
maize,5,2,0.002219897124069793,6.013391892864855,0.00036915889794307186
maize,6,2,0.0022160262500894017,6.013391892864855,0.0003685151890264812
maize,7,2,0.0022208698790649236,6.013391892864855,0.0003693206627195011
maize,8,2,0.0022290711731006657,6.013391892864855,0.00037068450099611057
pavement,-1,2,5.282406704647616,6.013391892864855,0.8784404540331747
sorghum,1,2,0.000272130859944265,6.013391892864855,4.525413689853804e-5
sorghum,2,2,0.0002721316688318209,6.013391892864855,4.5254271412897044e-5
maize,3,3,0.006707266964453021,13.340053279573763,0.0005027916173860536
maize,4,3,0.00669007230702377,13.340053279573763,0.0005015026677043024
maize,5,3,0.0067121459523881485,13.340053279573763,0.0005031573571498219
maize,6,3,0.006699410712363405,13.340053279573763,0.0005022026952936924
maize,7,3,0.006711251202993377,13.340053279573763,0.0005030902847494334
maize,8,3,0.006734403397855181,13.340053279573763,0.0005048258246589519
pavement,-1,3,11.706694069171245,13.340053279573763,0.8775597686027603
sorghum,1,3,0.0023065771408010355,13.340053279573763,0.00017290614156188248
sorghum,2,3,0.0023065963161429718,13.340053279573763,0.00017290757898807068
maize,3,4,0.011064896218654491,15.551875584995315,0.0007114830721337605
maize,4,4,0.011041910862484535,15.551875584995315,0.0007100050924492952
maize,5,4,0.011072871279072844,15.551875584995315,0.0007119958759029759
maize,6,4,0.011056423084078282,15.551875584995315,0.0007109382417350153
maize,7,4,0.011074228286459547,15.551875584995315,0.0007120831327344292
maize,8,4,0.01111011639113104,15.551875584995315,0.0007143907710945327
pavement,-1,4,13.625342506483383,15.551875584995315,0.8761221392247581
sorghum,1,4,0.004142221309225704,15.551875584995315,0.000266348665573314
sorghum,2,4,0.004142462369290245,15.551875584995315,0.0002663641659586677
maize,3,5,0.014446011691290762,14.58420332637339,0.0009905245674384745
maize,4,5,0.01442334036941809,14.58420332637339,0.0009889700552470767
maize,5,5,0.01445276200553023,14.58420332637339,0.0009909874185170288
maize,6,5,0.01443523341273801,14.58420332637339,0.0009897855295691064
maize,7,5,0.01445866911417063,14.58420332637339,0.0009913924532322072
maize,8,5,0.014499282315026008,14.58420332637339,0.000994177192305471
pavement,-1,5,12.760113478808922,14.58420332637339,0.8749270147471224
sorghum,1,5,0.005649948307300587,14.58420332637339,0.00038740191567978796
sorghum,2,5,0.005650140644233035,14.58420332637339,0.000387415103711259
maize,3,6,0.009816130860058234,7.810497516019872,0.0012567868871252656
maize,4,6,0.009801325955022939,7.810497516019872,0.0012548913734265633
maize,5,6,0.009818575615263524,7.810497516019872,0.0012570998960213411
maize,6,6,0.009807443687490995,7.810497516019872,0.0012556746439487687
maize,7,6,0.009822814747497889,7.810497516019872,0.001257642644063405
maize,8,6,0.009848752455522695,7.810497516019872,0.0012609635218911754
pavement,-1,6,6.821568501891951,7.810497516019872,0.8733846324002333
sorghum,1,6,0.004005809829682855,7.810497516019872,0.0005128751172977984
sorghum,2,6,0.004005922349399712,7.810497516019872,0.0005128895235141279
maize,3,7,0.020718950506899005,12.02678378572971,0.0017227340971642743
maize,4,7,0.020694750176085068,12.02678378572971,0.00172072189413102
maize,5,7,0.020719310298517618,12.02678378572971,0.001722764013027486
maize,6,7,0.02070180700279407,12.02678378572971,0.001721308653387254
maize,7,7,0.020724189869598175,12.02678378572971,0.0017231697383791255
maize,8,7,0.020773146841485072,12.02678378572971,0.0017272404003914406
pavement,-1,7,10.47422944747824,12.02678378572971,0.8709086015087723
sorghum,1,7,0.008575440722035924,12.02678378572971,0.000713028593081639
sorghum,2,7,0.0085778678220886,12.02678378572971,0.0007132304009877191
maize,3,8,0.03395872856788123,15.620995032039744,0.0021739158419953096
maize,4,8,0.033914335214180184,15.620995032039744,0.002171073938927676
maize,5,8,0.03390253264809547,15.620995032039744,0.0021703183810352048
maize,6,8,0.03387436319983201,15.620995032039744,0.002168515074126414
maize,7,8,0.03395453048490996,15.620995032039744,0.002173647095800675
maize,8,8,0.03403880076209391,15.620995032039744,0.00217904177629389
pavement,-1,8,13.56771532092311,15.620995032039744,0.8685564071363434
sorghum,1,8,0.013183597253028425,15.620995032039744,0.0008439665479688044
sorghum,2,8,0.013183323406930054,15.620995032039744,0.00084394901732509
maize,3,9,0.028334103116608087,10.229678162574698,0.0027697941876870056
maize,4,9,0.028253078876097595,10.229678162574698,0.0027618736803921703
maize,5,9,0.028192026500102135,10.229678162574698,0.0027559055184397424
maize,6,9,0.02817112701753467,10.229678162574698,0.0027538624939930957
maize,7,9,0.028290784024304808,10.229678162574698,0.0027655595390876234
maize,8,9,0.028400387437919825,10.229678162574698,0.0027762737973343783
pavement,-1,9,8.850134852428226,10.229678162574698,0.8651430388891868
sorghum,1,9,0.01082870408423349,10.229678162574698,0.0010585576508017945
sorghum,2,9,0.01082962451115288,10.229678162574698,0.0010586476269383613
maize,3,10,0.05475509158391188,15.897472820217436,0.003444263890439095
maize,4,10,0.054522670942357944,15.897472820217436,0.003429643916297145
maize,5,10,0.054358225876662974,15.897472820217436,0.0034192998152217944
maize,6,10,0.054322540113376214,15.897472820217436,0.00341705507080925
maize,7,10,0.05461048940379239,15.897472820217436,0.003435167967976778
maize,8,10,0.05491703955447897,15.897472820217436,0.003454450916540573
pavement,-1,10,13.695857777573957,15.897472820217436,0.8615116334815431
sorghum,1,10,0.02131584202380238,15.897472820217436,0.0013408321099120984
sorghum,2,10,0.02127844124140583,15.897472820217436,0.0013384794855157865
maize,3,11,0.06436615058217925,14.860681114551083,0.004331305549592479
maize,4,11,0.06404276470742166,14.860681114551083,0.004309544375103583
maize,5,11,0.06381397351860534,14.860681114551083,0.004294148634689484
maize,6,11,0.06378679774959096,14.860681114551083,0.0042923199318995586
maize,7,11,0.06409095641659956,14.860681114551083,0.004312787275533679
maize,8,11,0.06453871672038487,14.860681114551083,0.004342917812642565
pavement,-1,11,12.733087911024505,14.860681114551083,0.8568307073460241
sorghum,1,11,0.023572677483278685,14.860681114551083,0.0015862447556456282
sorghum,2,11,0.02349171222642749,14.860681114551083,0.0015807964685700165
maize,3,12,0.06484107348547795,13.063575491396067,0.004963501265651473
maize,4,12,0.06446034667163444,13.063575491396067,0.004934357114871753
maize,5,12,0.06424221558779654,13.063575491396067,0.004917659459319369
maize,6,12,0.06421982826329556,13.063575491396067,0.0049159457382545865
maize,7,12,0.06451836064448081,13.063575491396067,0.004938798010313019
maize,8,12,0.0650127431135043,13.063575491396067,0.00497664235616987
pavement,-1,12,11.14877070499302,13.063575491396067,0.8534241419843919
sorghum,1,12,0.023726847841797426,13.063575491396067,0.001816259863727538
sorghum,2,12,0.023645066533998595,13.063575491396067,0.0018099996091859927
maize,3,13,0.08077386330391068,13.47829217366261,0.005992885616602646
maize,4,13,0.08027830132235218,13.47829217366261,0.005956118200139688
maize,5,13,0.0800201528820271,13.47829217366261,0.0059369652958251844
maize,6,13,0.07999097145532394,13.47829217366261,0.005934800227259585
maize,7,13,0.08035056062002989,13.47829217366261,0.0059614793613867265
maize,8,13,0.08096310105375217,13.47829217366261,0.00600692580414297
pavement,-1,13,11.441243805561074,13.47829217366261,0.848864504355971
sorghum,1,13,0.029432379314098707,13.47829217366261,0.002183687587038018
sorghum,2,13,0.02937267727064248,13.47829217366261,0.0021792580908758198
maize,3,14,0.11454323521426477,16.104831161350706,0.0071123524404994795
maize,4,14,0.11377914027261894,16.104831161350706,0.00706490736429902
maize,5,14,0.11335619191767955,16.104831161350706,0.007038645160696761
maize,6,14,0.11333023504609148,16.104831161350706,0.007037033416287397
maize,7,14,0.11382006285662954,16.104831161350706,0.007067448377216238
maize,8,14,0.11470236447514799,16.104831161350706,0.007122233280558525
pavement,-1,14,13.588007416299423,16.104831161350706,0.8437224383269971
sorghum,1,14,0.03855897461997684,16.104831161350706,0.002394248920318573
sorghum,2,14,0.0385195741130549,16.104831161350706,0.0023918024179909675
maize,3,15,0.12572206613284434,15.620995032039744,0.008048275149885117
maize,4,15,0.12482240338895921,15.620995032039744,0.00799068197211124
maize,5,15,0.12402941756733693,15.620995032039744,0.007939917867776284
maize,6,15,0.12400349005444695,15.620995032039744,0.007938258081518315
maize,7,15,0.12485971463429134,15.620995032039744,0.0079930705040361
maize,8,15,0.12586871468103003,15.620995032039744,0.008057663063259708
pavement,-1,15,13.098830643084337,15.620995032039744,0.8385400940348375
sorghum,1,15,0.04241690750500195,15.620995032039744,0.0027153780804617072
sorghum,2,15,0.04244212562444522,15.620995032039744,0.0027169924538989663
maize,3,16,0.11507827429732492,12.165022679818561,0.009459766522937653
maize,4,16,0.11422416750152628,12.165022679818561,0.009389556477442582
maize,5,16,0.11327721433374958,12.165022679818561,0.009311714192006677
maize,6,16,0.11326594337970673,12.165022679818561,0.009310787687030935
maize,7,16,0.11426191607823377,12.165022679818561,0.00939265951947555
maize,8,16,0.11518561344206824,12.165022679818561,0.009468590110658651
pavement,-1,16,10.1238198395758,12.165022679818561,0.8322072310124781
sorghum,1,16,0.03769589558176942,12.165022679818561,0.003098711492277435
sorghum,2,16,0.03773933413279767,12.165022679818561,0.0031022822666336813
maize,3,17,0.14878214690982086,13.340053279573763,0.011153039931079998
maize,4,17,0.14787104961013672,13.340053279573763,0.011084742055457626
maize,5,17,0.1464458393746642,13.340053279573763,0.010977905133175255
maize,6,17,0.14645780432248612,13.340053279573763,0.010978802052218318
maize,7,17,0.14793376876079503,13.340053279573763,0.011089443622186326
maize,8,17,0.14892726928741917,13.340053279573763,0.011163918626581202
pavement,-1,17,10.986513481117722,13.340053279573763,0.8235734333940201
sorghum,1,17,0.04600831203658483,13.340053279573763,0.003448885178519682
sorghum,2,17,0.04607969118421161,13.340053279573763,0.003454235917840647
maize,3,18,0.15947443052036453,12.51061991504068,0.012747124571232407
maize,4,18,0.15884674403644697,12.51061991504068,0.01269695227855785
maize,5,18,0.15700098253909486,12.51061991504068,0.012549416703991071
maize,6,18,0.1570549205708918,12.51061991504068,0.012553728083616
maize,7,18,0.15888006621002695,12.51061991504068,0.012699615789543418
maize,8,18,0.15957161233685396,12.51061991504068,0.01275489251695767
pavement,-1,18,10.185375877170436,12.51061991504068,0.814138383736304
sorghum,1,18,0.04851375872108739,12.51061991504068,0.003877806139946954
sorghum,2,18,0.04852633696741881,12.51061991504068,0.0038788115454677706
maize,3,19,0.22986559782210544,15.551875584995315,0.014780570778477886
maize,4,19,0.2287900903206824,15.551875584995315,0.014711414650296106
maize,5,19,0.22637601831833043,15.551875584995315,0.01455618758529302
maize,6,19,0.2264510455888346,15.551875584995315,0.014561011908256134
maize,7,19,0.22888472420575334,15.551875584995315,0.014717499696730136
maize,8,19,0.2296503375573657,15.551875584995315,0.014766729344140061
pavement,-1,19,12.499515839783776,15.551875584995315,0.8037304421238746
sorghum,1,19,0.06815698302410025,15.551875584995315,0.004382557116767263
sorghum,2,19,0.06829575901614526,15.551875584995315,0.004391480541552046
maize,3,20,0.09674935836019975,5.736914104687163,0.016864355399909818
maize,4,20,0.0962833385167597,5.736914104687163,0.01678312360265155
maize,5,20,0.09534146408773714,5.736914104687163,0.016618945716799463
maize,6,20,0.09527742345660761,5.736914104687163,0.01660778281110471
maize,7,20,0.09631599840148831,5.736914104687163,0.01678881653863292
maize,8,20,0.09680371793343436,5.736914104687163,0.016873830802930093
pavement,-1,20,4.54593992138111,5.736914104687163,0.7924016010047971
sorghum,1,20,0.029313628056619502,5.736914104687163,0.005109650854397443
sorghum,2,20,0.029249862802993017,5.736914104687163,0.005098535949683358
maize,3,21,0.1627611584391796,8.363453092375261,0.019460999737962857
maize,4,21,0.16193119497066735,8.363453092375261,0.019361762800857427
maize,5,21,0.16037991727383635,8.363453092375261,0.019176279881338784
maize,6,21,0.1603688839831184,8.363453092375261,0.01917496065462751
maize,7,21,0.1618948353467138,8.363453092375261,0.019357415359250243
maize,8,21,0.16266241225044248,8.363453092375261,0.019449192869717594
pavement,-1,21,6.506402095200137,8.363453092375261,0.7779564282044998
sorghum,1,21,0.04750561570106094,8.363453092375261,0.005680143736846035
sorghum,2,21,0.04735772756387394,8.363453092375261,0.005662461072095774
maize,3,22,0.20296170947466624,9.12376700986392,0.02224538496601673
maize,4,22,0.2019681906050073,9.12376700986392,0.022136491471850903
maize,5,22,0.20016706266730633,9.12376700986392,0.021939080913716998
maize,6,22,0.20029214482292992,9.12376700986392,0.021952790399665988
maize,7,22,0.20208124955641402,9.12376700986392,0.022148883168316244
maize,8,22,0.20259261540236054,9.12376700986392,0.02220493083430702
pavement,-1,22,6.966066138095549,9.12376700986392,0.7635076751263343
sorghum,1,22,0.05762180148481171,9.12376700986392,0.00631557134487492
sorghum,2,22,0.05722871778676292,9.12376700986392,0.006272487857799481
maize,3,23,0.20602747515395795,8.294333645330838,0.024839545159837863
maize,4,23,0.2043674058496741,8.294333645330838,0.02463940017227538
maize,5,23,0.20247206232994808,8.294333645330838,0.024410889528651464
maize,6,23,0.20267853260432295,8.294333645330838,0.02443578245956112
maize,7,23,0.20457284138098333,8.294333645330838,0.024664168350177755
maize,8,23,0.2055014564504196,8.294333645330838,0.024776126116665603
pavement,-1,23,6.2192097286599,8.294333645330838,0.7498142701506714
sorghum,1,23,0.05761928802130708,8.294333645330838,0.006946825445554983
sorghum,2,23,0.05703908753538277,8.294333645330838,0.006876874017178222
maize,3,24,0.37962437069879845,13.823889408884728,0.027461473357477145
maize,4,24,0.3758847658203292,13.823889408884728,0.027190955794159127
maize,5,24,0.3723165410022357,13.823889408884728,0.02693283561447944
maize,6,24,0.3723417297265402,13.823889408884728,0.02693465773006207
maize,7,24,0.3750560605310251,13.823889408884728,0.027131008462059413
maize,8,24,0.37739411003739476,13.823889408884728,0.027300139553694668
pavement,-1,24,10.168016744847371,13.823889408884728,0.735539502964506
sorghum,1,24,0.10437415033392974,13.823889408884728,0.007550273822853908
sorghum,2,24,0.1033207973100052,13.823889408884728,0.007474075801243032
maize,3,25,0.36743867788978074,12.02678378572971,0.03055169897755727
maize,4,25,0.3628315776533355,12.02678378572971,0.030168628963285312
maize,5,25,0.3597938206424397,12.02678378572971,0.029916046305692327
maize,6,25,0.35916308351743675,12.02678378572971,0.02986360193351102
maize,7,25,0.3619203886779823,12.02678378572971,0.030092865651032676
maize,8,25,0.3661774334534318,12.02678378572971,0.030446829341682923
pavement,-1,25,8.636342968000143,12.02678378572971,0.7180924777451749
sorghum,1,25,0.09979983947585018,12.02678378572971,0.008298132007184409
sorghum,2,25,0.09913023848324347,12.02678378572971,0.008242456191892775
maize,3,26,0.34072003149809404,10.229678162574698,0.03330701377728765
maize,4,26,0.3350811493331081,10.229678162574698,0.03275578605776703
maize,5,26,0.3328465037628914,10.229678162574698,0.03253733875818411
maize,6,26,0.33234609110524266,10.229678162574698,0.03248842102590594
maize,7,26,0.3340973062001287,10.229678162574698,0.0326596106828096
maize,8,26,0.3402645696150959,10.229678162574698,0.03326249019836759
pavement,-1,26,7.19602407586373,10.229678162574698,0.703445793846223
sorghum,1,26,0.09288857285319559,10.229678162574698,0.00908030256445688
sorghum,2,26,0.09247267023699235,10.229678162574698,0.009039646093198106
maize,3,27,0.5843581462640034,16.104831161350706,0.03628464902298258
maize,4,27,0.5704898272034536,16.104831161350706,0.035423521146409016
maize,5,27,0.5680744456155359,16.104831161350706,0.03527354244972362
maize,6,27,0.5681537378567,16.104831161350706,0.03527846595623975
maize,7,27,0.5701425302633268,16.104831161350706,0.03540195637887763
maize,8,27,0.5829408735450856,16.104831161350706,0.036196646068793345
pavement,-1,27,11.07073663630103,16.104831161350706,0.6874171188375583
sorghum,1,27,0.1543816887705436,16.104831161350706,0.009586048262402004
sorghum,2,27,0.15392721957050792,16.104831161350706,0.009557828829644068
maize,3,28,0.5367191425162182,13.616531067751456,0.03941673101949956
maize,4,28,0.5213177049719114,13.616531067751456,0.03828564723114889
maize,5,28,0.5184768343959318,13.616531067751456,0.038077013287463504
maize,6,28,0.5188645815924106,13.616531067751456,0.038105489497340266
maize,7,28,0.5209501041863893,13.616531067751456,0.03825865057659032
maize,8,28,0.534755762328991,13.616531067751456,0.039272540096168346
pavement,-1,28,9.128839472869528,13.616531067751456,0.6704232838339937
sorghum,1,28,0.1404013485842761,13.616531067751456,0.010311095233116598
sorghum,2,28,0.13900372519210963,13.616531067751456,0.010208453570184068
maize,3,29,0.6617164448780399,15.551875584995315,0.0425489801060699
maize,4,29,0.6417193692080361,15.551875584995315,0.04126314962467785
maize,5,29,0.6372005105629747,15.551875584995315,0.040972582829672026
maize,6,29,0.6371839671074829,15.551875584995315,0.04097151907016589
maize,7,29,0.6390924740917902,15.551875584995315,0.04109423783639295
maize,8,29,0.6585088154965665,15.551875584995315,0.042342726566813954
pavement,-1,29,10.15849490562239,15.551875584995315,0.6532006284453215
sorghum,1,29,0.17212155961408013,15.551875584995315,0.011067575654999813
sorghum,2,29,0.1710007462329148,15.551875584995315,0.010995506316800715
maize,3,30,0.3830714578850713,8.294333645330838,0.04618471769588329
maize,4,30,0.3715293098097708,8.294333645330838,0.044793147430103354
maize,5,30,0.3700703150187501,8.294333645330838,0.04461724483763385
maize,6,30,0.3692985343145033,8.294333645330838,0.044524195686581045
maize,7,30,0.3698803987311881,8.294333645330838,0.04459434772549888
maize,8,30,0.38166820507885246,8.294333645330838,0.046015535593230746
pavement,-1,30,5.2455416098139915,8.294333645330838,0.6324247171762719
sorghum,1,30,0.09900426834026109,8.294333645330838,0.01193637398418304
sorghum,2,30,0.0991047084625111,8.294333645330838,0.011948483470797019
maize,3,31,0.4909752717331706,9.953200374397003,0.04932838215496244
maize,4,31,0.476290065490257,9.953200374397003,0.04785295659428661
maize,5,31,0.47555084175151235,9.953200374397003,0.04777868663980582
maize,6,31,0.4746547315554752,9.953200374397003,0.04768865427209199
maize,7,31,0.47464974485062356,9.953200374397003,0.04768815325687436
maize,8,31,0.4907280866869698,9.953200374397003,0.0493035474247347
pavement,-1,31,6.1032157353234915,9.953200374397003,0.6131912857921585
sorghum,1,31,0.1337712429068933,9.953200374397003,0.013440023095586236
sorghum,2,31,0.13275338147402407,9.953200374397003,0.013337758357152204
maize,3,32,0.36614021750232817,6.9810641514867875,0.05244762253392983
maize,4,32,0.35533347526435677,6.9810641514867875,0.05089961466529137
maize,5,32,0.3542371768505899,6.9810641514867875,0.050742575797007465
maize,6,32,0.3541698962524765,6.9810641514867875,0.05073293821215601
maize,7,32,0.35332014136752826,6.9810641514867875,0.05061121538215347
maize,8,32,0.364379955377557,6.9810641514867875,0.05219547442490604
pavement,-1,32,4.147744541959189,6.9810641514867875,0.5941421611310972
sorghum,1,32,0.10413648479688539,6.9810641514867875,0.014916992959405335
sorghum,2,32,0.10226072387191529,6.9810641514867875,0.014648300266677306
maize,3,33,0.8518158482451887,15.2062783497732,0.056017378391465096
maize,4,33,0.8314031645568598,15.2062783497732,0.05467499314644994
maize,5,33,0.8295605826221817,15.2062783497732,0.05455382070094452
maize,6,33,0.8256527249691072,15.2062783497732,0.054296830952158766
maize,7,33,0.8216028770909952,15.2062783497732,0.05403050359809107
maize,8,33,0.8477019284915714,15.2062783497732,0.0557468375228193
pavement,-1,33,8.69523914202289,15.2062783497732,0.5718190172516853
sorghum,1,33,0.2460861380179351,15.2062783497732,0.01618319304418135
sorghum,2,33,0.24025052437028352,15.2062783497732,0.01579942960690752
maize,3,34,0.5251360453920861,8.778169774641801,0.05982295385868344
maize,4,34,0.5138697054686135,8.778169774641801,0.058539504094927614
maize,5,34,0.5121417275023666,8.778169774641801,0.05834265463648598
